captured_at,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series,episode.series.id,episode.series.name,episode.series.slug,episode.slug,id,image,links.cardmarket,links.tcgplayer,name,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.lowest,prices.cardmarket.lowest_DE,prices.cardmarket.lowest_DE_EU_only,prices.cardmarket.lowest_ES,prices.cardmarket.lowest_ES_EU_only,prices.cardmarket.lowest_EU_only,prices.cardmarket.lowest_FR,prices.cardmarket.lowest_FR_EU_only,prices.cardmarket.lowest_IT,prices.cardmarket.lowest_IT_EU_only,slug,tcggo_url,tcgplayer_id
2026-08-18T20:35:01+02:00,719691,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1727.89,EUR,1753.21,2023-09-22,,1,Scarlet & Violet,scarlet-violet,151,20042,https://images.tcggo.com/tcggo/storage/20660/151-elite-trainer-box-151-pokemon.png,https://www.tcggo.com/external/cm/20042,https://www.tcggo.com/external/tcgplayer/20042,151 Elite Trainer Box,404.05,402.94,312,EUR,419,339,339,445,445,419,300,300,340,340,151-elite-trainer-box,https://www.tcggo.com/pokemon/151/151-elite-trainer-box,503313
2026-08-18T20:35:01+02:00,570895,25,25,CEL,Pokémon,pokemon,35,https://images.tcggo.com/tcggo/storage/5234/celebrations-logo.png,Celebrations,EUR,586.33,EUR,91.57,2021-10-08,,2,Sword & Shield,sword-shield,celebrations,20033,https://images.tcggo.com/tcggo/storage/20648/celebrations-elite-trainer-box-celebrations-pokemon.png,https://www.tcggo.com/external/cm/20033,https://www.tcggo.com/external/tcgplayer/20033,Celebrations Elite Trainer Box,343.25,360.96,329,EUR,320,290,310,500,500,320,580,580,430,430,celebrations-elite-trainer-box,https://www.tcggo.com/pokemon/celebrations/celebrations-elite-trainer-box,242811
2026-08-18T20:35:01+02:00,293331,108,113,EVO,Pokémon,pokemon,71,https://images.tcggo.com/tcggo/storage/10425/evolutions-logo.png,Evolutions,EUR,580.24,EUR,758.29,2016-11-02,,5,XY,xy,evolutions,20082,https://images.tcggo.com/tcggo/storage/20727/evolutions-elite-trainer-box-blastoise-evolutions-pokemon.png,https://www.tcggo.com/external/cm/20082,https://www.tcggo.com/external/tcgplayer/20082,Evolutions Elite Trainer Box (Blastoise),558.85,559.99,15,EUR,550,,,,,550,,,,,evolutions-elite-trainer-box-blastoise,https://www.tcggo.com/pokemon/evolutions/evolutions-elite-trainer-box-blastoise,123448
2026-08-18T20:35:01+02:00,293929,108,113,EVO,Pokémon,pokemon,71,https://images.tcggo.com/tcggo/storage/10425/evolutions-logo.png,Evolutions,EUR,580.24,EUR,758.29,2016-11-02,,5,XY,xy,evolutions,20153,https://images.tcggo.com/tcggo/storage/20953/evolutions-elite-trainer-box-charizard.png,https://www.tcggo.com/external/cm/20153,https://www.tcggo.com/external/tcgplayer/20153,Evolutions Elite Trainer Box (Charizard),641.55,699.71,30,EUR,619.99,,,,,619.99,,,,,evolutions-elite-trainer-box-charizard,https://www.tcggo.com/pokemon/evolutions/evolutions-elite-trainer-box-charizard,123447
2026-08-18T20:35:01+02:00,293302,83,117,GEN,Pokémon,pokemon,75,https://images.tcggo.com/tcggo/storage/10803/generations-logo.png,Generations,EUR,1209.81,EUR,1381.76,2016-02-22,,5,XY,xy,generations,20164,https://images.tcggo.com/tcggo/storage/20519/generations-elite-trainer-box-generations-pokemon.png,https://www.tcggo.com/external/cm/20164,https://www.tcggo.com/external/tcgplayer/20164,Generations Elite Trainer Box,1110.53,2507,8,EUR,2500,,,,,3250,,,,,generations-elite-trainer-box,https://www.tcggo.com/pokemon/generations/generations-elite-trainer-box,123741
2026-08-18T20:35:01+02:00,287836,122,126,BKP,Pokémon,pokemon,76,https://images.tcggo.com/tcggo/storage/10923/breakpoint-logo.png,BREAKpoint,EUR,1013.34,EUR,1003.9,2016-02-03,,5,XY,xy,breakpoint,20095,https://images.tcggo.com/tcggo/storage/20687/breakpoint-elite-trainer-box-breakpoint-pokemon.png,https://www.tcggo.com/external/cm/20095,https://www.tcggo.com/external/tcgplayer/20095,BREAKpoint Elite Trainer Box,504.41,921.29,7,EUR,800,,,,,800,,,,,breakpoint-elite-trainer-box,https://www.tcggo.com/pokemon/breakpoint/breakpoint-elite-trainer-box,111280
2026-08-18T20:35:01+02:00,286946,162,165,BKT,Pokémon,pokemon,78,https://images.tcggo.com/tcggo/storage/11052/breakthrough-logo.png,BREAKthrough,EUR,1179.07,EUR,1277.9,2015-11-04,,5,XY,xy,breakthrough,20152,https://images.tcggo.com/tcggo/storage/20503/breakthrough-elite-trainer-box-mega-mewtwo-y-breakthrough-pokemon.png,https://www.tcggo.com/external/cm/20152,https://www.tcggo.com/external/tcgplayer/20152,BREAKthrough Elite Trainer Box (Mega Mewtwo Y),440.6,838.36,6,EUR,1199,,,,,1199,,,,,breakthrough-elite-trainer-box-mega-mewtwo-y,https://www.tcggo.com/pokemon/breakthrough/breakthrough-elite-trainer-box-mega-mewtwo-y,107107
2026-08-18T20:35:01+02:00,286942,162,165,BKT,Pokémon,pokemon,78,https://images.tcggo.com/tcggo/storage/11052/breakthrough-logo.png,BREAKthrough,EUR,1179.07,EUR,1277.9,2015-11-04,,5,XY,xy,breakthrough,20175,https://images.tcggo.com/tcggo/storage/20304/breakthrough-elite-trainer-box-mega-mewtwo-x-breakthrough-pokemon.png,https://www.tcggo.com/external/cm/20175,https://www.tcggo.com/external/tcgplayer/20175,BREAKthrough Elite Trainer Box (Mega Mewtwo X),433.14,995.28,9,EUR,974.98,,,,,974.98,,,,,breakthrough-elite-trainer-box-mega-mewtwo-x,https://www.tcggo.com/pokemon/breakthrough/breakthrough-elite-trainer-box-mega-mewtwo-x,107106
2026-08-18T20:35:01+02:00,286955,146,146,XY,Pokémon,pokemon,87,https://images.tcggo.com/tcggo/storage/11993/xy-logo.png,XY,EUR,569.17,EUR,761.73,2014-02-05,,5,XY,xy,xy,20182,https://images.tcggo.com/tcggo/storage/20219/xy-elite-trainer-box-xerneas-xy-pokemon.png,https://www.tcggo.com/external/cm/20182,https://www.tcggo.com/external/tcgplayer/20182,XY Elite Trainer Box (Xerneas),956.77,1522.25,0,EUR,,,,,,,,,,,xy-elite-trainer-box-xerneas,https://www.tcggo.com/pokemon/xy/xy-elite-trainer-box-xerneas,97747
2026-08-18T20:35:01+02:00,286956,146,146,XY,Pokémon,pokemon,87,https://images.tcggo.com/tcggo/storage/11993/xy-logo.png,XY,EUR,569.17,EUR,761.73,2014-02-05,,5,XY,xy,xy,20183,https://images.tcggo.com/tcggo/storage/20307/xy-elite-trainer-box-yveltal-xy-pokemon.png,https://www.tcggo.com/external/cm/20183,https://www.tcggo.com/external/tcgplayer/20183,XY Elite Trainer Box (Yveltal),771.67,1286.43,,EUR,,,,,,,,,,,xy-elite-trainer-box-yveltal,https://www.tcggo.com/pokemon/xy/xy-elite-trainer-box-yveltal,97748
