expansion_id,expansion_name,expansion_released_at,analysis_start,analysis_end,price_rank,observed_on,card_id,cardmarket_id,tcgid,card_name,card_number,rarity,cm_low,cm_low_de,cm_low_es,cm_low_fr,cm_low_it,tcg_player_market
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-19,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,399.99,337,345,649,290,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-20,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,388.75,340,350,550,290,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-21,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,388.8,359,350,540,290,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-22,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,382.91,390,350,530,280,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-23,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,376.91,360,350,520,290,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-24,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,371.42,360,300,600,290,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-25,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,354.22,340,300,550,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-26,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,324.98,350,299.99,550,280,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-27,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,323.77,350,290,549,240,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-02-28,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,323.16,350,290,550,270,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-01,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,329.04,350,290,525,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-02,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,328.99,350,285,525,270,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-03,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,324.76,370,285,525,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-04,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,319.64,380,249.99,550,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-05,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,355.18,350,245,550,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-06,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,400,320,285,524,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-07,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,380,320,285,524,249.98,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-08,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,375.46,340,285,524,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-09,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,375.33,340,350,524,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-10,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,375.75,320,300,520,250,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-11,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,376.15,330,300,520,290,
396,Ascended Heroes,2026-01-30,2026-02-19,2026-08-19,1,2026-03-12,31727,869888,me2pt5-276,Pikachu ex,276,Special Illustration Rare,377.06,330,300,520,250,
