captured_at,sort_price_field,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-17T14:43:18+02:00,lowest_near_mint,,434,AKIRA EGAWA,akira-egawa,PBL 116,116,895901,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49885,https://images.tcggo.com/tcggo/storage/38241/mega-darkrai-ex-116-pitch-black.png,https://www.tcggo.com/external/cm/49885,https://www.tcggo.com/external/tcgplayer/49885,Mega Darkrai ex,Mega Darkrai ex 116,293.24,262.82,323,EUR,[],210.84,238,238,220,220,235,345,350,258,258,USD,873.5,2,,,,,EUR,189.15,Special Illustration Rare,mega-darkrai-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-darkrai-ex-2,PBL-116,704873,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,380,5ban Graphics,5ban-graphics,PBL 120,120,895905,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49889,https://images.tcggo.com/tcggo/storage/38245/mega-darkrai-ex-120-pitch-black.png,https://www.tcggo.com/external/cm/49889,https://www.tcggo.com/external/tcgplayer/49889,Mega Darkrai ex,Mega Darkrai ex 120,165.52,155.7,225,EUR,[],154.97,128,128,144,144,179,180,180,148,148,,,,,,,,EUR,147.87,Mega Hyper Rare,mega-darkrai-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-darkrai-ex-3,PBL-120,704877,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,536,NC Empire,nc-empire,PBL 117,117,895902,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49886,https://images.tcggo.com/tcggo/storage/38242/morpeko-ex-117-pitch-black.png,https://www.tcggo.com/external/cm/49886,https://www.tcggo.com/external/tcgplayer/49886,Morpeko ex,Morpeko ex 117,66.02,64.29,236,EUR,[],69,52,52,49.99,49.99,69,64,64,36.8,36.8,USD,,,,,102.58,1,EUR,82.64,Special Illustration Rare,morpeko-ex,,https://www.tcggo.com/pokemon/pitch-black/morpeko-ex-2,PBL-117,704874,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,459,GIDORA,gidora,PBL 114,114,895899,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49883,https://images.tcggo.com/tcggo/storage/38239/mega-zeraora-ex-114-pitch-black.png,https://www.tcggo.com/external/cm/49883,https://www.tcggo.com/external/tcgplayer/49883,Mega Zeraora ex,Mega Zeraora ex 114,55.23,54.05,257,EUR,[],45,40,40,40,40,45,94.95,94.95,37,37,,,,,,,,EUR,54.61,Special Illustration Rare,mega-zeraora-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-zeraora-ex-2,PBL-114,704871,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,470,REND,rend,PBL 115,115,895900,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49884,https://images.tcggo.com/tcggo/storage/38240/mega-chandelure-ex-115-pitch-black.png,https://www.tcggo.com/external/cm/49884,https://www.tcggo.com/external/tcgplayer/49884,Mega Chandelure ex,Mega Chandelure ex 115,37.07,36,320,EUR,[],34.75,29,29,35,35,34.75,42,42,25,25,USD,,,38.14,1,61.92,1,EUR,40.06,Special Illustration Rare,mega-chandelure-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-chandelure-ex-2,PBL-115,704872,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,463,Naoki Saito,naoki-saito,PBL 119,119,895904,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49888,https://images.tcggo.com/tcggo/storage/38244/gwynn-119-pitch-black.png,https://www.tcggo.com/external/cm/49888,https://www.tcggo.com/external/tcgplayer/49888,Gwynn,Gwynn 119,27.97,26.81,227,EUR,[],28,24.99,24.99,24,24,28,22.99,22.99,16.9,16.9,USD,,,,,35.67,1,EUR,30.85,Special Illustration Rare,gwynn,,https://www.tcggo.com/pokemon/pitch-black/gwynn-2,PBL-119,704876,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,429,DOM,dom,PBL 118,118,895903,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49887,https://images.tcggo.com/tcggo/storage/38243/gladions-final-battle-118-pitch-black.png,https://www.tcggo.com/external/cm/49887,https://www.tcggo.com/external/tcgplayer/49887,Gladion's Final Battle,Gladion's Final Battle 118,25.09,24.62,267,EUR,[],24.95,19.99,19.99,23.5,23.5,24.95,23.99,23.99,19.9,19.9,,,,,,,,EUR,28.04,Special Illustration Rare,gladions-final-battle,,https://www.tcggo.com/pokemon/pitch-black/gladions-final-battle-2,PBL-118,704875,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,477,En Morikura,en-morikura,PBL 111,111,895896,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49880,https://images.tcggo.com/tcggo/storage/38236/mistys-vitality-111-pitch-black.png,https://www.tcggo.com/external/cm/49880,https://www.tcggo.com/external/tcgplayer/49880,Misty's Vitality,Misty's Vitality 111,20.24,17.99,456,EUR,[],20,14,14,15,15,20,14.99,14.99,9,9,,,,,,,,EUR,18.32,Ultra Rare,mistys-vitality,,https://www.tcggo.com/pokemon/pitch-black/mistys-vitality-1,PBL-111,704868,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,396,Gemi,gemi,PBL 87,87,895871,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49856,https://images.tcggo.com/tcggo/storage/38212/goldeen-87-pitch-black.png,https://www.tcggo.com/external/cm/49856,https://www.tcggo.com/external/tcgplayer/49856,Goldeen,Goldeen 87,13.52,12.39,633,EUR,[],9.5,9,9,7.85,7.85,9.5,19.8,19.8,5.3,5.3,,,,,,,,EUR,8.27,Illustration Rare,goldeen,,https://www.tcggo.com/pokemon/pitch-black/goldeen-16,PBL-87,704844,singles
2026-08-17T14:43:18+02:00,lowest_near_mint,,399,Mékayu,mekayu,PBL 90,90,895874,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,687.55,EUR,739.84,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49859,https://images.tcggo.com/tcggo/storage/38215/slowbro-90-pitch-black.png,https://www.tcggo.com/external/cm/49859,https://www.tcggo.com/external/tcgplayer/49859,Slowbro,Slowbro 90,14.47,12.4,753,EUR,[],8.5,9.1,9.1,9,9,8.5,13,13,5.49,5.49,,,,,,,,EUR,12.26,Illustration Rare,slowbro,,https://www.tcggo.com/pokemon/pitch-black/slowbro-18,PBL-90,704847,singles
