captured_at,expansion_id,expansion_name,expansion_slug,expansion_released_at,card_id,card_name,card_number,rarity,cardmarket_price_eur,price_field,currency,cardmarket_url,image_url
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49885,Mega Darkrai ex,116,Special Illustration Rare,210.84,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49885,https://images.tcggo.com/tcggo/storage/38241/mega-darkrai-ex-116-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49889,Mega Darkrai ex,120,Mega Hyper Rare,154.97,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49889,https://images.tcggo.com/tcggo/storage/38245/mega-darkrai-ex-120-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49886,Morpeko ex,117,Special Illustration Rare,69.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49886,https://images.tcggo.com/tcggo/storage/38242/morpeko-ex-117-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49883,Mega Zeraora ex,114,Special Illustration Rare,45.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49883,https://images.tcggo.com/tcggo/storage/38239/mega-zeraora-ex-114-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49884,Mega Chandelure ex,115,Special Illustration Rare,34.75,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49884,https://images.tcggo.com/tcggo/storage/38240/mega-chandelure-ex-115-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49888,Gwynn,119,Special Illustration Rare,28.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49888,https://images.tcggo.com/tcggo/storage/38244/gwynn-119-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49887,Gladion's Final Battle,118,Special Illustration Rare,24.95,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49887,https://images.tcggo.com/tcggo/storage/38243/gladions-final-battle-118-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49880,Misty's Vitality,111,Ultra Rare,20.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49880,https://images.tcggo.com/tcggo/storage/38236/mistys-vitality-111-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49856,Goldeen,87,Illustration Rare,9.5,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49856,https://images.tcggo.com/tcggo/storage/38212/goldeen-87-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49859,Slowbro,90,Illustration Rare,8.5,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49859,https://images.tcggo.com/tcggo/storage/38215/slowbro-90-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49878,Gwynn,109,Ultra Rare,7.5,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49878,https://images.tcggo.com/tcggo/storage/38234/gwynn-109-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49870,Mega Darkrai ex,101,Ultra Rare,7.17,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49870,https://images.tcggo.com/tcggo/storage/38226/mega-darkrai-ex-101-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49868,Mega Chandelure ex,99,Ultra Rare,6.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49868,https://images.tcggo.com/tcggo/storage/38224/mega-chandelure-ex-99-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49872,Mega Excadrill ex,103,Ultra Rare,5.37,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49872,https://images.tcggo.com/tcggo/storage/38228/mega-excadrill-ex-103-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49867,Mega Zeraora ex,98,Ultra Rare,5.2,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49867,https://images.tcggo.com/tcggo/storage/38223/mega-zeraora-ex-98-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49860,Dhelmise,91,Illustration Rare,3.7,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49860,https://images.tcggo.com/tcggo/storage/38216/dhelmise-91-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49871,Morpeko ex,102,Ultra Rare,3.48,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49871,https://images.tcggo.com/tcggo/storage/38227/morpeko-ex-102-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49855,Armarouge,86,Illustration Rare,3.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49855,https://images.tcggo.com/tcggo/storage/38211/armarouge-86-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49877,Gladion's Final Battle,108,Ultra Rare,3.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49877,https://images.tcggo.com/tcggo/storage/38233/gladions-final-battle-108-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49857,Primarina,88,Illustration Rare,2.95,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49857,https://images.tcggo.com/tcggo/storage/38213/primarina-88-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49869,Rampardos ex,100,Ultra Rare,2.8,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49869,https://images.tcggo.com/tcggo/storage/38225/rampardos-ex-100-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49858,Manectric,89,Illustration Rare,2.7,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49858,https://images.tcggo.com/tcggo/storage/38214/manectric-89-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49854,Fomantis,85,Illustration Rare,2.69,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49854,https://images.tcggo.com/tcggo/storage/38210/fomantis-85-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49873,Brave Bangle,104,Ultra Rare,2.65,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49873,https://images.tcggo.com/tcggo/storage/38229/brave-bangle-104-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49866,Wailord ex,97,Ultra Rare,2.5,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49866,https://images.tcggo.com/tcggo/storage/38222/wailord-ex-97-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49864,Silvally,95,Illustration Rare,2.34,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49864,https://images.tcggo.com/tcggo/storage/38220/silvally-95-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49863,Toucannon,94,Illustration Rare,2.25,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49863,https://images.tcggo.com/tcggo/storage/38219/toucannon-94-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49862,Bastiodon,93,Illustration Rare,2.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49862,https://images.tcggo.com/tcggo/storage/38218/bastiodon-93-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49874,Crushing Hammer,105,Ultra Rare,2.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49874,https://images.tcggo.com/tcggo/storage/38230/crushing-hammer-105-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49875,Dark Bell,106,Ultra Rare,2.0,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49875,https://images.tcggo.com/tcggo/storage/38231/dark-bell-106-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49881,Rust Syndicate Grunt,112,Ultra Rare,1.8,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49881,https://images.tcggo.com/tcggo/storage/38237/rust-syndicate-grunt-112-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49876,Energy Switch,107,Ultra Rare,1.7,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49876,https://images.tcggo.com/tcggo/storage/38232/energy-switch-107-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49865,Lurantis ex,96,Ultra Rare,1.45,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49865,https://images.tcggo.com/tcggo/storage/38221/lurantis-ex-96-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49861,Thievul,92,Illustration Rare,1.2,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49861,https://images.tcggo.com/tcggo/storage/38217/thievul-92-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49882,Tremendous Bomb,113,Ultra Rare,0.69,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49882,https://images.tcggo.com/tcggo/storage/38238/tremendous-bomb-113-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49879,Iron Defender,110,Ultra Rare,0.6,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49879,https://images.tcggo.com/tcggo/storage/38235/iron-defender-110-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49834,Mega Excadrill ex,65,Double Rare,0.49,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49834,https://images.tcggo.com/tcggo/storage/38190/mega-excadrill-ex-65-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49817,Mega Darkrai ex,48,Double Rare,0.43,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49817,https://images.tcggo.com/tcggo/storage/38173/mega-darkrai-ex-48-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49773,Lurantis ex,4,Double Rare,0.1,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49773,https://images.tcggo.com/tcggo/storage/38129/lurantis-ex-4-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49777,Mega Delphox ex,8,Double Rare,0.1,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49777,https://images.tcggo.com/tcggo/storage/38133/mega-delphox-ex-8-pitch-black.png
2026-08-17T14:36:03+02:00,415,Pitch Black,pitch-black,2026-07-17,49796,Mega Zeraora ex,27,Double Rare,0.1,lowest_near_mint,EUR,https://www.tcggo.com/external/cm/49796,https://images.tcggo.com/tcggo/storage/38152/mega-zeraora-ex-27-pitch-black.png
