captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10black,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc8,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type,version
2026-08-23T17:19:56+02:00,,498,Sekio,sekio,SIT 1,1,682040,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,60,3854,https://images.tcggo.com/tcggo/storage/3879/venonat-sit-1-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3854,https://www.tcggo.com/external/tcgplayer/3854,Venonat,Venonat 1,,0.04,0.03,9045,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Common,venonat,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/venonat-1,swsh12-1,451620,singles,
2026-08-23T17:19:56+02:00,,484,Kagemaru Himeno,kagemaru-himeno,SIT 2,2,682041,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,90,3855,https://images.tcggo.com/tcggo/storage/3880/venomoth-sit-2-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3855,https://www.tcggo.com/external/tcgplayer/3855,Venomoth,Venomoth 2,,0.05,0.07,5491,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Uncommon,venomoth,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/venomoth-2,swsh12-2,451621,singles,
2026-08-23T17:19:56+02:00,,516,Pani Kobayashi,pani-kobayashi,SIT 3,3,682042,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,60,3856,https://images.tcggo.com/tcggo/storage/3881/spinarak-sit-3-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3856,https://www.tcggo.com/external/tcgplayer/3856,Spinarak,Spinarak 3,,0.03,0.03,9930,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,0.09,Common,spinarak,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/spinarak-3,swsh12-3,451622,singles,
2026-08-23T17:19:56+02:00,,499,Tika Matsuno,tika-matsuno,SIT 4,4,682043,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,90,3857,https://images.tcggo.com/tcggo/storage/3882/ariados-sit-4-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3857,https://www.tcggo.com/external/tcgplayer/3857,Ariados,Ariados 4,,0.13,0.17,3443,EUR,[],,,,,,,,,,,0.02,0.03,0.03,0.05,0.05,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.17,Rare Holo,ariados,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/ariados-4,swsh12-4,451624,singles,
2026-08-23T17:19:56+02:00,,360,Saya Tsuruta,saya-tsuruta,SIT 5,5,682044,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,40,3858,https://images.tcggo.com/tcggo/storage/3883/sunkern-sit-5-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3858,https://www.tcggo.com/external/tcgplayer/3858,Sunkern,Sunkern 5,,0.03,0.03,10895,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Common,sunkern,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/sunkern-5,swsh12-5,451625,singles,
2026-08-23T17:19:56+02:00,,546,zig,zig,SIT 6,6,682045,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,90,3859,https://images.tcggo.com/tcggo/storage/3884/sunflora-sit-6-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3859,https://www.tcggo.com/external/tcgplayer/3859,Sunflora,Sunflora 6,,0.04,0.04,6367,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.12,Uncommon,sunflora,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/sunflora-6,swsh12-6,451626,singles,
2026-08-23T17:19:56+02:00,,517,Ayaka Yoshida,ayaka-yoshida,SIT 7,7,682046,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,210,3860,https://images.tcggo.com/tcggo/storage/3885/serperior-v-sit-7-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3860,https://www.tcggo.com/external/tcgplayer/3860,Serperior V,Serperior V 7,,0.92,0.85,1352,EUR,[],,,,,,,,,,,0.45,0.55,0.55,0.45,0.45,0.45,0.89,0.89,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.81,0.85,Rare Holo V,serperior-v,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/serperior-v-7,swsh12-7,451628,singles,
2026-08-23T17:19:56+02:00,,384,PLANETA Mochizuki,planeta-mochizuki,SIT 8,8,682047,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,270,3861,https://images.tcggo.com/tcggo/storage/3886/serperior-vstar-sit-8-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3861,https://www.tcggo.com/external/tcgplayer/3861,Serperior VSTAR,Serperior VSTAR 8,,1.12,1.02,995,EUR,[],,,,,,,,,,,0.4,0.7,0.7,0.99,0.99,0.4,1.4,1.4,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,1.01,1.26,Rare Holo VSTAR,serperior-vstar,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/serperior-vstar-8,swsh12-8,450290,singles,
2026-08-23T17:19:56+02:00,,359,HYOGONOSUKE,hyogonosuke,SIT 9,9,682048,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,50,3862,https://images.tcggo.com/tcggo/storage/3887/petilil-sit-9-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3862,https://www.tcggo.com/external/tcgplayer/3862,Petilil,Petilil 9,,0.03,0.02,14074,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.11,0.09,Common,petilil,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/petilil-9,swsh12-9,451629,singles,
2026-08-23T17:19:56+02:00,,375,Mitsuhiro Arita,mitsuhiro-arita,SIT 10,10,682049,195,215,SIT,Pokémon,pokemon,24,https://images.tcggo.com/tcggo/storage/3877/silver-tempest-logo.png,Silver Tempest,EUR,1099.33,EUR,1151.88,2022-11-11,2,Sword & Shield,sword-shield,silver-tempest,120,3863,https://images.tcggo.com/tcggo/storage/3888/hisuian-lilligant-sit-10-silver-tempest-pokemon.png,https://www.tcggo.com/external/cm/3863,https://www.tcggo.com/external/tcgplayer/3863,Hisuian Lilligant,Hisuian Lilligant 10,,0.07,0.09,3923,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.26,0.13,rare,hisuian-lilligant,Pokémon,https://www.tcggo.com/pokemon/silver-tempest/hisuian-lilligant-10,swsh12-10,451630,singles,
