captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.ars.10.median_price,prices.ebay.graded.ars.10.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.gma.10.median_price,prices.ebay.graded.gma.10.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.8.median_price,prices.ebay.graded.sgc.8.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,513,ryoma uratsuka,ryoma-uratsuka,CRZ 1,1,691718,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,50,3624,https://images.tcggo.com/tcggo/storage/3643/oddish-crz-1-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3624,https://www.tcggo.com/external/tcgplayer/3624,Oddish,Oddish 1,0.03,0.03,12456,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.38,0.11,Common,oddish,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/oddish-1-1,swsh12pt5-1,478033,singles
2026-08-23T17:19:56+02:00,,483,Kyoko Umemoto,kyoko-umemoto,CRZ 2,2,691719,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,70,3625,https://images.tcggo.com/tcggo/storage/3644/gloom-crz-2-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3625,https://www.tcggo.com/external/tcgplayer/3625,Gloom,Gloom 2,0.04,0.04,10411,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.48,0.11,Uncommon,gloom,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/gloom-2-1,swsh12pt5-2,478042,singles
2026-08-23T17:19:56+02:00,,534,Nagomi Nijo,nagomi-nijo,CRZ 3,3,691720,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,120,3626,https://images.tcggo.com/tcggo/storage/3645/bellossom-crz-3-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3626,https://www.tcggo.com/external/tcgplayer/3626,Bellossom,Bellossom 3,0.15,0.21,2945,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.32,0.15,rare,bellossom,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/bellossom-3-1,swsh12pt5-3,478049,singles
2026-08-23T17:19:56+02:00,,493,kurumitsu,kurumitsu,CRZ 4,4,691721,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,80,3627,https://images.tcggo.com/tcggo/storage/3646/tangela-crz-4-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3627,https://www.tcggo.com/external/tcgplayer/3627,Tangela,Tangela 4,0.03,0.03,12841,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.35,0.09,Common,tangela,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/tangela-4,swsh12pt5-4,478050,singles
2026-08-23T17:19:56+02:00,,546,zig,zig,CRZ 5,5,691722,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,150,3628,https://images.tcggo.com/tcggo/storage/3647/tangrowth-crz-5-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3628,https://www.tcggo.com/external/tcgplayer/3628,Tangrowth,Tangrowth 5,0.1,0.18,3057,EUR,[],,,,,,,,,,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.27,0.13,rare,tangrowth,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/tangrowth-5,swsh12pt5-5,478051,singles
2026-08-23T17:19:56+02:00,,406,Narumi Sato,narumi-sato,CRZ 6,6,691723,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,80,3629,https://images.tcggo.com/tcggo/storage/3648/scyther-crz-6-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3629,https://www.tcggo.com/external/tcgplayer/3629,Scyther,Scyther 6,0.03,0.02,13062,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.36,0.1,Common,scyther,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/scyther-6,swsh12pt5-6,478052,singles
2026-08-23T17:19:56+02:00,,513,ryoma uratsuka,ryoma-uratsuka,CRZ 7,7,691724,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,40,3630,https://images.tcggo.com/tcggo/storage/3649/sunkern-crz-7-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3630,https://www.tcggo.com/external/tcgplayer/3630,Sunkern,Sunkern 7,0.03,0.02,13185,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.26,0.09,Common,sunkern,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/sunkern-7,swsh12pt5-7,478053,singles
2026-08-23T17:19:56+02:00,,521,Shin Nagasawa,shin-nagasawa,CRZ 8,8,691725,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,70,3631,https://images.tcggo.com/tcggo/storage/3650/yanma-crz-8-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3631,https://www.tcggo.com/external/tcgplayer/3631,Yanma,Yanma 8,0.03,0.02,13523,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.09,Common,yanma,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/yanma-8,swsh12pt5-8,478054,singles
2026-08-23T17:19:56+02:00,,524,KIYOTAKA OSHIYAMA,kiyotaka-oshiyama,CRZ 9,9,691726,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,130,3632,https://images.tcggo.com/tcggo/storage/3651/yanmega-crz-9-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3632,https://www.tcggo.com/external/tcgplayer/3632,Yanmega,Yanmega 9,0.07,0.1,3799,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.26,0.14,rare,yanmega,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/yanmega-9,swsh12pt5-9,478055,singles
2026-08-23T17:19:56+02:00,,437,Shigenori Negishi,shigenori-negishi,CRZ 10,10,691727,159,160,CRZ,Pokémon,pokemon,21,https://images.tcggo.com/tcggo/storage/3641/crown-zenith-logo.png,Crown Zenith,EUR,2208.81,EUR,1760.77,2023-01-20,2,Sword & Shield,sword-shield,crown-zenith,60,3633,https://images.tcggo.com/tcggo/storage/3652/kricketot-crz-10-crown-zenith-pokemon.png,https://www.tcggo.com/external/cm/3633,https://www.tcggo.com/external/tcgplayer/3633,Kricketot,Kricketot 10,0.03,0.02,13396,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.25,0.09,Common,kricketot,Pokémon,https://www.tcggo.com/pokemon/crown-zenith/kricketot-10,swsh12pt5-10,478057,singles
