captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc8,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,381,sowsow,sowsow,SVI 8,8,702305,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,30,3200,https://images.tcggo.com/tcggo/storage/3216/scatterbug-svi-8-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3200,https://www.tcggo.com/external/tcgplayer/3200,Scatterbug,Scatterbug 8,0.03,0.03,13625,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.12,Common,scatterbug,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/scatterbug-8,sv1-8,487839,singles
2026-08-23T17:19:56+02:00,,437,Shigenori Negishi,shigenori-negishi,SVI 1,1,702298,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,60,3201,https://images.tcggo.com/tcggo/storage/3217/pineco-svi-1-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3201,https://www.tcggo.com/external/tcgplayer/3201,Pineco,Pineco 1,3.68,0.04,4601,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.13,Common,pineco,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/pineco-1-1,sv1-1,487828,singles
2026-08-23T17:19:56+02:00,,429,DOM,dom,SVI 6,6,702303,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,130,3202,https://images.tcggo.com/tcggo/storage/3218/cacturne-svi-6-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3202,https://www.tcggo.com/external/tcgplayer/3202,Cacturne,Cacturne 6,0.05,0.06,6626,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.13,Uncommon,cacturne,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/cacturne-6,sv1-6,487836,singles
2026-08-23T17:19:56+02:00,,396,Gemi,gemi,SVI 12,12,702309,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,130,3203,https://images.tcggo.com/tcggo/storage/3219/gogoat-svi-12-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3203,https://www.tcggo.com/external/tcgplayer/3203,Gogoat,Gogoat 12,0.05,0.06,6364,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,0.13,Common,gogoat,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/gogoat-12,sv1-12,487843,singles
2026-08-23T17:19:56+02:00,,360,Saya Tsuruta,saya-tsuruta,SVI 13,13,689763,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,70,3204,https://images.tcggo.com/tcggo/storage/3220/sprigatito-svi-13-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3204,https://www.tcggo.com/external/tcgplayer/3204,Sprigatito,Sprigatito 13,0.04,0.04,10367,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.13,Common,sprigatito,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/sprigatito-13-1,sv1-13,475417,singles
2026-08-23T17:19:56+02:00,,486,Ryota Murayama,ryota-murayama,SVI 15,15,702311,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,160,3205,https://images.tcggo.com/tcggo/storage/3221/meowscarada-svi-15-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3205,https://www.tcggo.com/external/tcgplayer/3205,Meowscarada,Meowscarada 15,0.08,0.08,6519,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.17,rare,meowscarada,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/meowscarada-15,sv1-15,487848,singles
2026-08-23T17:19:56+02:00,,499,Tika Matsuno,tika-matsuno,SVI 16,16,702312,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,40,3206,https://images.tcggo.com/tcggo/storage/3222/tarountula-svi-16-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3206,https://www.tcggo.com/external/tcgplayer/3206,Tarountula,Tarountula 16,0.04,0.04,4598,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.13,Common,tarountula,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/tarountula-16-1,sv1-16,487851,singles
2026-08-23T17:19:56+02:00,,378,Kouki Saitou,kouki-saitou,SVI 18,18,702314,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,60,3207,https://images.tcggo.com/tcggo/storage/3223/tarountula-svi-18-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3207,https://www.tcggo.com/external/tcgplayer/3207,Tarountula,Tarountula 18,0.06,0.05,4383,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.13,Common,tarountula,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/tarountula-18,sv1-18,487855,singles
2026-08-23T17:19:56+02:00,,495,yuu,yuu,SVI 20,20,702316,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,50,3208,https://images.tcggo.com/tcggo/storage/3224/smoliv-svi-20-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3208,https://www.tcggo.com/external/tcgplayer/3208,Smoliv,Smoliv 20,0.05,0.04,4561,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.13,Common,smoliv,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/smoliv-20,sv1-20,487857,singles
2026-08-23T17:19:56+02:00,,440,Shibuzoh.,shibuzoh,SVI 21,21,702317,198,258,SVI,Pokémon,pokemon,19,https://images.tcggo.com/tcggo/storage/3214/scarlet-violet-logo.png,Scarlet & Violet,EUR,526.59,EUR,675.18,2023-03-31,1,Scarlet & Violet,scarlet-violet,scarlet-violet,60,3209,https://images.tcggo.com/tcggo/storage/3225/smoliv-svi-21-scarlet-violet-pokemon.png,https://www.tcggo.com/external/cm/3209,https://www.tcggo.com/external/tcgplayer/3209,Smoliv,Smoliv 21,0.04,0.03,6690,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.13,Common,smoliv,Pokémon,https://www.tcggo.com/pokemon/scarlet-violet/smoliv-21,sv1-21,487858,singles
