captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc8,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.mnt.9.median_price,prices.ebay.graded.mnt.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,360,Saya Tsuruta,saya-tsuruta,OBF 6,6,725086,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,60,2691,https://images.tcggo.com/tcggo/storage/2705/surskit-obf-6-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2691,https://www.tcggo.com/external/tcgplayer/2691,Surskit,Surskit 6,0.03,0.03,12544,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.09,Common,surskit,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/surskit-6,sv3-6,509658,singles
2026-08-23T17:19:56+02:00,,487,Haru Akasaka,haru-akasaka,OBF 2,2,725082,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,80,2692,https://images.tcggo.com/tcggo/storage/2706/gloom-obf-2-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2692,https://www.tcggo.com/external/tcgplayer/2692,Gloom,Gloom 2,0.05,0.04,4272,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.25,0.12,Common,gloom,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/gloom-2,sv3-2,509653,singles
2026-08-23T17:19:56+02:00,,478,Midori Harada,midori-harada,OBF 1,1,725081,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,50,2693,https://images.tcggo.com/tcggo/storage/2707/oddish-obf-1-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2693,https://www.tcggo.com/external/tcgplayer/2693,Oddish,Oddish 1,0.04,0.04,12192,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.12,Common,oddish,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/oddish-1,sv3-1,509637,singles
2026-08-23T17:19:56+02:00,,406,Narumi Sato,narumi-sato,OBF 11,11,725091,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,60,2694,https://images.tcggo.com/tcggo/storage/2708/phantump-obf-11-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2694,https://www.tcggo.com/external/tcgplayer/2694,Phantump,Phantump 11,0.03,0.02,12578,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.1,Common,phantump,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/phantump-11,sv3-11,509671,singles
2026-08-23T17:19:56+02:00,,405,nagimiso,nagimiso,OBF 17,17,725097,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,90,2695,https://images.tcggo.com/tcggo/storage/2709/steenee-obf-17-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2695,https://www.tcggo.com/external/tcgplayer/2695,Steenee,Steenee 17,0.04,0.03,6673,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.12,Common,steenee,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/steenee-17,sv3-17,509748,singles
2026-08-23T17:19:56+02:00,,486,Ryota Murayama,ryota-murayama,OBF 27,27,725107,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,90,2696,https://images.tcggo.com/tcggo/storage/2710/charmeleon-obf-27-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2696,https://www.tcggo.com/external/tcgplayer/2696,Charmeleon,Charmeleon 27,0.05,0.06,6349,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.32,0.15,Uncommon,charmeleon,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/charmeleon-27,sv3-27,509708,singles
2026-08-23T17:19:56+02:00,,443,Shiburingaru,shiburingaru,OBF 32,32,725112,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,140,2697,https://images.tcggo.com/tcggo/storage/2711/camerupt-obf-32-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2697,https://www.tcggo.com/external/tcgplayer/2697,Camerupt,Camerupt 32,0.03,0.03,8459,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.12,Uncommon,camerupt,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/camerupt-32,sv3-32,509728,singles
2026-08-23T17:19:56+02:00,,526,Saki Hayashiro,saki-hayashiro,OBF 33,33,608728,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,190,2698,https://images.tcggo.com/tcggo/storage/2712/victini-ex-obf-33-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2698,https://www.tcggo.com/external/tcgplayer/2698,Victini ex,Victini ex 33,1.05,1.1,633,EUR,[],,,,,,,,0.5,0.45,0.45,1.25,1.25,0.5,0.79,0.79,0.38,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.8,0.9,Double Rare,victini-ex,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/victini-ex-33,sv3-33,509731,singles
2026-08-23T17:19:56+02:00,,491,Yuya Oka,yuya-oka,OBF 35,35,725115,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,140,2699,https://images.tcggo.com/tcggo/storage/2713/darmanitan-obf-35-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2699,https://www.tcggo.com/external/tcgplayer/2699,Darmanitan,Darmanitan 35,0.03,0.03,7349,EUR,[],,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Uncommon,darmanitan,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/darmanitan-35-1,sv3-35,509735,singles
2026-08-23T17:19:56+02:00,,521,Shin Nagasawa,shin-nagasawa,OBF 4,4,725084,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,80,2700,https://images.tcggo.com/tcggo/storage/2714/scyther-obf-4-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2700,https://www.tcggo.com/external/tcgplayer/2700,Scyther,Scyther 4,0.06,0.06,6184,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.13,Common,scyther,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/scyther-4,sv3-4,509655,singles
2026-08-23T17:19:56+02:00,,522,You Iribi,you-iribi,OBF 9,9,725089,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,50,2701,https://images.tcggo.com/tcggo/storage/2715/foongus-obf-9-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2701,https://www.tcggo.com/external/tcgplayer/2701,Foongus,Foongus 9,0.03,0.03,12466,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.09,Common,foongus,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/foongus-9,sv3-9,509665,singles
2026-08-23T17:19:56+02:00,,516,Pani Kobayashi,pani-kobayashi,OBF 24,24,725104,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,70,2702,https://images.tcggo.com/tcggo/storage/2716/capsakid-obf-24-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2702,https://www.tcggo.com/external/tcgplayer/2702,Capsakid,Capsakid 24,0.04,0.04,4399,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.1,Common,capsakid,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/capsakid-24,sv3-24,510900,singles
2026-08-23T17:19:56+02:00,,414,kodama,kodama,OBF 25,25,725105,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,110,2703,https://images.tcggo.com/tcggo/storage/2717/scovillain-obf-25-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2703,https://www.tcggo.com/external/tcgplayer/2703,Scovillain,Scovillain 25,0.05,0.04,17286,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.13,rare,scovillain,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/scovillain-25,sv3-25,509776,singles
2026-08-23T17:19:56+02:00,,482,Mizue,mizue,OBF 31,31,725111,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,90,2704,https://images.tcggo.com/tcggo/storage/2718/numel-obf-31-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2704,https://www.tcggo.com/external/tcgplayer/2704,Numel,Numel 31,0.03,0.03,13903,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,0.11,Common,numel,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/numel-31,sv3-31,509726,singles
2026-08-23T17:19:56+02:00,,438,Miki Tanaka,miki-tanaka,OBF 34,34,725114,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,80,2705,https://images.tcggo.com/tcggo/storage/2719/darumaka-obf-34-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2705,https://www.tcggo.com/external/tcgplayer/2705,Darumaka,Darumaka 34,0.03,0.03,12660,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.11,0.09,Common,darumaka,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/darumaka-34-1,sv3-34,509733,singles
2026-08-23T17:19:56+02:00,,359,HYOGONOSUKE,hyogonosuke,OBF 8,8,725088,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,50,2706,https://images.tcggo.com/tcggo/storage/2720/combee-obf-8-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2706,https://www.tcggo.com/external/tcgplayer/2706,Combee,Combee 8,0.04,0.03,11426,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.11,Common,combee,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/combee-8,sv3-8,509662,singles
2026-08-23T17:19:56+02:00,,503,sui,sui,OBF 3,3,725083,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,130,2707,https://images.tcggo.com/tcggo/storage/2721/bellossom-obf-3-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2707,https://www.tcggo.com/external/tcgplayer/2707,Bellossom,Bellossom 3,0.09,0.11,2286,EUR,[],,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.3,0.14,Uncommon,bellossom,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/bellossom-3,sv3-3,509654,singles
2026-08-23T17:19:56+02:00,,397,Kurata So,kurata-so,OBF 5,5,725085,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,80,2708,https://images.tcggo.com/tcggo/storage/2722/shuckle-obf-5-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2708,https://www.tcggo.com/external/tcgplayer/2708,Shuckle,Shuckle 5,0.04,0.05,4208,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.14,Common,shuckle,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/shuckle-5,sv3-5,509657,singles
2026-08-23T17:19:56+02:00,,487,Haru Akasaka,haru-akasaka,OBF 7,7,725087,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,100,2709,https://images.tcggo.com/tcggo/storage/2723/masquerain-obf-7-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2709,https://www.tcggo.com/external/tcgplayer/2709,Masquerain,Masquerain 7,0.04,0.03,7190,EUR,[],,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.1,Uncommon,masquerain,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/masquerain-7,sv3-7,509660,singles
2026-08-23T17:19:56+02:00,,508,Nobuhiro Imagawa,nobuhiro-imagawa,OBF 10,10,725090,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,110,2710,https://images.tcggo.com/tcggo/storage/2724/amoonguss-obf-10-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2710,https://www.tcggo.com/external/tcgplayer/2710,Amoonguss,Amoonguss 10,0.06,0.06,2931,EUR,[],,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.13,Uncommon,amoonguss,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/amoonguss-10,sv3-10,509700,singles
2026-08-23T17:19:56+02:00,,363,Anesaki Dynamic,anesaki-dynamic,OBF 12,12,725092,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,140,2711,https://images.tcggo.com/tcggo/storage/2725/trevenant-obf-12-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2711,https://www.tcggo.com/external/tcgplayer/2711,Trevenant,Trevenant 12,0.04,0.04,7210,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.1,Uncommon,trevenant,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/trevenant-12,sv3-12,509672,singles
2026-08-23T17:19:56+02:00,,384,PLANETA Mochizuki,planeta-mochizuki,OBF 15,15,725095,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,320,2712,https://images.tcggo.com/tcggo/storage/2726/decidueye-ex-obf-15-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2712,https://www.tcggo.com/external/tcgplayer/2712,Decidueye ex,Decidueye ex 15,0.79,0.7,1291,EUR,[],,,,,,,,0.15,0.2,0.2,1.68,1.68,0.15,0.25,0.25,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.78,0.85,Double Rare,decidueye-ex,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/decidueye-ex-15,sv3-15,509719,singles
2026-08-23T17:19:56+02:00,,397,Kurata So,kurata-so,OBF 16,16,725096,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,60,2713,https://images.tcggo.com/tcggo/storage/2727/bounsweet-obf-16-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2713,https://www.tcggo.com/external/tcgplayer/2713,Bounsweet,Bounsweet 16,0.03,0.03,12003,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.1,Common,bounsweet,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/bounsweet-16,sv3-16,509734,singles
2026-08-23T17:19:56+02:00,,460,Atsushi Furusawa,atsushi-furusawa,OBF 18,18,725098,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,160,2714,https://images.tcggo.com/tcggo/storage/2728/tsareena-obf-18-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2714,https://www.tcggo.com/external/tcgplayer/2714,Tsareena,Tsareena 18,0.07,0.05,2794,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.13,Uncommon,tsareena,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/tsareena-18,sv3-18,509751,singles
2026-08-23T17:19:56+02:00,,420,Masako Tomii,masako-tomii,OBF 19,19,725099,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,50,2715,https://images.tcggo.com/tcggo/storage/2729/smoliv-obf-19-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2715,https://www.tcggo.com/external/tcgplayer/2715,Smoliv,Smoliv 19,0.03,0.02,11964,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.1,Common,smoliv,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/smoliv-19,sv3-19,509754,singles
2026-08-23T17:19:56+02:00,,482,Mizue,mizue,OBF 20,20,725100,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,80,2716,https://images.tcggo.com/tcggo/storage/2730/dolliv-obf-20-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2716,https://www.tcggo.com/external/tcgplayer/2716,Dolliv,Dolliv 20,0.05,0.04,4064,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.13,Common,dolliv,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/dolliv-20,sv3-20,509757,singles
2026-08-23T17:19:56+02:00,,380,5ban Graphics,5ban-graphics,OBF 22,22,725102,197,230,OBF,Pokémon,pokemon,17,https://images.tcggo.com/tcggo/storage/38783/obf.png,Obsidian Flames,EUR,312.31,EUR,425.9,2023-08-11,1,Scarlet & Violet,scarlet-violet,obsidian-flames,270,2717,https://images.tcggo.com/tcggo/storage/2731/toedscruel-ex-obf-22-obsidian-flames-pokemon.png,https://www.tcggo.com/external/cm/2717,https://www.tcggo.com/external/tcgplayer/2717,Toedscruel ex,Toedscruel ex 22,0.78,0.72,878,EUR,[],,,,,,,,0.3,0.4,0.4,0.99,0.99,0.3,0.55,0.55,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.71,0.85,Double Rare,toedscruel-ex,Pokémon,https://www.tcggo.com/pokemon/obsidian-flames/toedscruel-ex-22,sv3-22,509767,singles
