captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.ars.10.median_price,prices.ebay.graded.ars.10.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.7.median_price,prices.ebay.graded.sgc.7.sample_size,prices.ebay.graded.sgc.8.median_price,prices.ebay.graded.sgc.8.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type,version
2026-08-23T17:19:56+02:00,,409,Yuu Nishida,yuu-nishida,MEW 2,2,733597,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,100,2484,https://images.tcggo.com/tcggo/storage/2498/ivysaur-mew-2-151-pokemon.png,https://www.tcggo.com/external/cm/2484,https://www.tcggo.com/external/tcgplayer/2484,Ivysaur,Ivysaur 2,0.12,0.11,6687,EUR,[],,,,,,,,,0.02,0.05,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.41,0.2,Uncommon,ivysaur,Pokémon,https://www.tcggo.com/pokemon/151/ivysaur-2,sv3pt5-2,502553,singles,
2026-08-23T17:19:56+02:00,,409,Yuu Nishida,yuu-nishida,MEW 1,1,733596,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,70,2485,https://images.tcggo.com/tcggo/storage/2499/bulbasaur-mew-1-151-pokemon.png,https://www.tcggo.com/external/cm/2485,https://www.tcggo.com/external/tcgplayer/2485,Bulbasaur,Bulbasaur 1,0.09,0.1,11054,EUR,[],,,,,,,,,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,USD,50.01,1,,,,,,,,,,,,,,,99.82,2,,,,,16.26,1,139,1,,,,,33.49,4,,,,,,,,,,,,,,,,,EUR,0.32,0.17,Common,bulbasaur,Pokémon,https://www.tcggo.com/pokemon/151/bulbasaur-1,sv3pt5-1,502552,singles,
2026-08-23T17:19:56+02:00,,380,5ban Graphics,5ban-graphics,MEW 3,3,733598,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,340,2486,https://images.tcggo.com/tcggo/storage/2500/venusaur-ex-mew-3-151-pokemon.png,https://www.tcggo.com/external/cm/2486,https://www.tcggo.com/external/tcgplayer/2486,Venusaur ex,Venusaur ex 3,2.47,2.86,1522,EUR,[],,,,,,,,,1,3.2,3.2,13,13,1,0.7,0.7,0.99,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,1.18,1.03,Double Rare,venusaur-ex,Pokémon,https://www.tcggo.com/pokemon/151/venusaur-ex-3,sv3pt5-3,502554,singles,
2026-08-23T17:19:56+02:00,,454,kantaro,kantaro,MEW 7,7,733602,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,60,2487,https://images.tcggo.com/tcggo/storage/2501/squirtle-mew-7-151-pokemon.png,https://www.tcggo.com/external/cm/2487,https://www.tcggo.com/external/tcgplayer/2487,Squirtle,Squirtle 7,0.1,0.09,10672,EUR,[],,,,,,,,,0.02,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,USD,,,68.25,1,,,,,,,,,,,,,21.47,2,,,,,20,1,350,5,71.36,5,,,16.19,1,,,,,,,,,,,,,,,,,EUR,0.36,0.17,Common,squirtle,Pokémon,https://www.tcggo.com/pokemon/151/squirtle-7,sv3pt5-7,502548,singles,
2026-08-23T17:19:56+02:00,,381,sowsow,sowsow,MEW 19,19,733614,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,40,2488,https://images.tcggo.com/tcggo/storage/2502/rattata-mew-19-151-pokemon.png,https://www.tcggo.com/external/cm/2488,https://www.tcggo.com/external/tcgplayer/2488,Rattata,Rattata 19,0.04,0.04,14768,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.27,0.13,Common,rattata,Pokémon,https://www.tcggo.com/pokemon/151/rattata-19,sv3pt5-19,502568,singles,
2026-08-23T17:19:56+02:00,,454,kantaro,kantaro,MEW 8,8,733603,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,100,2489,https://images.tcggo.com/tcggo/storage/2503/wartortle-mew-8-151-pokemon.png,https://www.tcggo.com/external/cm/2489,https://www.tcggo.com/external/tcgplayer/2489,Wartortle,Wartortle 8,0.1,0.1,7194,EUR,[],,,,,,,,,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.68,0.2,Uncommon,wartortle,Pokémon,https://www.tcggo.com/pokemon/151/wartortle-8,sv3pt5-8,502550,singles,
2026-08-23T17:19:56+02:00,,393,Kedamahadaitai Yawarakai,kedamahadaitai-yawarakai,MEW 23,23,733618,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,70,2490,https://images.tcggo.com/tcggo/storage/2504/ekans-mew-23-151-pokemon.png,https://www.tcggo.com/external/cm/2490,https://www.tcggo.com/external/tcgplayer/2490,Ekans,Ekans 23,0.05,0.05,14804,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.13,Common,ekans,Pokémon,https://www.tcggo.com/pokemon/151/ekans-23,sv3pt5-23,515955,singles,
2026-08-23T17:19:56+02:00,,411,PLANETA Yamashita,planeta-yamashita,MEW 9,9,733604,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,330,2491,https://images.tcggo.com/tcggo/storage/2505/blastoise-ex-mew-9-151-pokemon.png,https://www.tcggo.com/external/cm/2491,https://www.tcggo.com/external/tcgplayer/2491,Blastoise ex,Blastoise ex 9,3.05,3.67,1207,EUR,,,,,78,,129,,29,1,4.9,4.99,8.5,8.5,1,0.95,0.95,1.49,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,2.21,1.52,Double Rare,blastoise-ex,Pokémon,https://www.tcggo.com/pokemon/151/blastoise-ex-9,sv3pt5-9,502551,singles,
2026-08-23T17:19:56+02:00,,457,Eske Yoshinob,eske-yoshinob,MEW 24,24,733619,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,270,2492,https://images.tcggo.com/tcggo/storage/2506/arbok-ex-mew-24-151-pokemon.png,https://www.tcggo.com/external/cm/2492,https://www.tcggo.com/external/tcgplayer/2492,Arbok ex,Arbok ex 24,2.57,2.8,652,EUR,[],,,,,,,,,1.69,1.98,1.98,4.5,4.5,1.9,2.85,2.85,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,1.37,1.09,Double Rare,arbok-ex,Pokémon,https://www.tcggo.com/pokemon/151/arbok-ex-24,sv3pt5-24,515956,singles,
2026-08-23T17:19:56+02:00,,499,Tika Matsuno,tika-matsuno,MEW 12,12,733607,165,207,MEW,Pokémon,pokemon,16,https://images.tcggo.com/tcggo/storage/2496/151-logo.png,151,EUR,1769.91,EUR,1756.61,2023-09-22,1,Scarlet & Violet,scarlet-violet,151,130,2493,https://images.tcggo.com/tcggo/storage/2507/butterfree-mew-12-151-pokemon.png,https://www.tcggo.com/external/cm/2493,https://www.tcggo.com/external/tcgplayer/2493,Butterfree,Butterfree 12,0.07,0.08,9735,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.13,Uncommon,butterfree,Pokémon,https://www.tcggo.com/pokemon/151/butterfree-12,sv3pt5-12,502561,singles,
