captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc8,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.gma.10.median_price,prices.ebay.graded.gma.10.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.8.median_price,prices.ebay.graded.sgc.8.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,357,Yoriyuki Ikegami,yoriyuki-ikegami,PAR 1,1,740477,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,50,2218,https://images.tcggo.com/tcggo/storage/2230/surskit-par-1-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2218,https://www.tcggo.com/external/tcgplayer/2218,Surskit,Surskit 1,0.03,0.03,12694,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,0.09,Common,surskit,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/surskit-1,sv4-1,523584,singles
2026-08-23T17:19:56+02:00,,454,kantaro,kantaro,PAR 2,2,740478,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,100,2219,https://images.tcggo.com/tcggo/storage/2231/masquerain-par-2-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2219,https://www.tcggo.com/external/tcgplayer/2219,Masquerain,Masquerain 2,0.03,0.03,7918,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Uncommon,masquerain,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/masquerain-2,sv4-2,523585,singles
2026-08-23T17:19:56+02:00,,380,5ban Graphics,5ban-graphics,PAR 3,3,740479,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,250,2220,https://images.tcggo.com/tcggo/storage/2232/froslass-ex-par-3-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2220,https://www.tcggo.com/external/tcgplayer/2220,Froslass ex,Froslass ex 3,0.72,0.66,1461,EUR,[],,,,,,,,,,0.3,0.3,0.3,0.45,0.45,0.3,0.5,0.65,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.68,0.78,Double Rare,froslass-ex,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/froslass-ex-3,sv4-3,523587,singles
2026-08-23T17:19:56+02:00,,386,Jerky,jerky,PAR 4,4,740480,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,70,2221,https://images.tcggo.com/tcggo/storage/2233/pansage-par-4-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2221,https://www.tcggo.com/external/tcgplayer/2221,Pansage,Pansage 4,0.03,0.03,12696,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.11,0.09,Common,pansage,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/pansage-4,sv4-4,523603,singles
2026-08-23T17:19:56+02:00,,397,Kurata So,kurata-so,PAR 5,5,740481,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,100,2222,https://images.tcggo.com/tcggo/storage/2234/simisage-par-5-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2222,https://www.tcggo.com/external/tcgplayer/2222,Simisage,Simisage 5,0.03,0.02,7909,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.11,Uncommon,simisage,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/simisage-5,sv4-5,523604,singles
2026-08-23T17:19:56+02:00,,387,Scav,scav,PAR 6,6,740482,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,60,2223,https://images.tcggo.com/tcggo/storage/2235/dwebble-par-6-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2223,https://www.tcggo.com/external/tcgplayer/2223,Dwebble,Dwebble 6,0.03,0.03,12791,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.1,Common,dwebble,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/dwebble-6,sv4-6,523605,singles
2026-08-23T17:19:56+02:00,,521,Shin Nagasawa,shin-nagasawa,PAR 7,7,740483,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,130,2224,https://images.tcggo.com/tcggo/storage/2236/crustle-par-7-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2224,https://www.tcggo.com/external/tcgplayer/2224,Crustle,Crustle 7,0.04,0.03,7789,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.11,0.1,Common,crustle,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/crustle-7,sv4-7,523606,singles
2026-08-23T17:19:56+02:00,,378,Kouki Saitou,kouki-saitou,PAR 8,8,740484,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,60,2225,https://images.tcggo.com/tcggo/storage/2237/bounsweet-par-8-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2225,https://www.tcggo.com/external/tcgplayer/2225,Bounsweet,Bounsweet 8,0.03,0.03,12503,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,0.1,Common,bounsweet,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/bounsweet-8,sv4-8,523607,singles
2026-08-23T17:19:56+02:00,,418,Kariya,kariya,PAR 9,9,740485,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,90,2226,https://images.tcggo.com/tcggo/storage/2238/steenee-par-9-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2226,https://www.tcggo.com/external/tcgplayer/2226,Steenee,Steenee 9,0.03,0.03,11693,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.11,Uncommon,steenee,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/steenee-9,sv4-9,523608,singles
2026-08-23T17:19:56+02:00,,374,OKUBO,okubo,PAR 10,10,740486,182,266,PAR,Pokémon,pokemon,15,https://images.tcggo.com/tcggo/storage/2228/paradox-rift-logo.png,Paradox Rift,EUR,792.99,EUR,1072.45,2023-11-03,1,Scarlet & Violet,scarlet-violet,paradox-rift,50,2227,https://images.tcggo.com/tcggo/storage/2239/blipbug-par-10-paradox-rift-pokemon.png,https://www.tcggo.com/external/cm/2227,https://www.tcggo.com/external/tcgplayer/2227,Blipbug,Blipbug 10,0.04,0.03,13113,EUR,[],,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.12,0.1,Common,blipbug,Pokémon,https://www.tcggo.com/pokemon/paradox-rift/blipbug-10,sv4-10,523609,singles
