captured_at,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.8.median_price,prices.ebay.graded.sgc.8.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,378,Kouki Saitou,kouki-saitou,PAF 1,1,751527,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,70,1973,https://images.tcggo.com/tcggo/storage/1983/pineco-paf-1-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1973,https://www.tcggo.com/external/tcgplayer/1973,Pineco,Pineco 1,0.03,0.03,18688,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,0.09,Common,pineco,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/pineco-1,sv4pt5-1,534132,singles
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,PAF 2,2,751528,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,270,1974,https://images.tcggo.com/tcggo/storage/1984/forretress-ex-paf-2-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1974,https://www.tcggo.com/external/tcgplayer/1974,Forretress ex,Forretress ex 2,0.59,0.62,3208,EUR,[],,,,,,,,,0.1,0.39,0.39,0.2,0.2,0.1,0.4,0.4,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.47,0.84,Double Rare,forretress-ex,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/forretress-ex-2,sv4pt5-2,534133,singles
2026-08-23T17:19:56+02:00,449,miki kudo,miki-kudo,PAF 9,9,751535,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,80,1975,https://images.tcggo.com/tcggo/storage/1985/magmar-paf-9-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1975,https://www.tcggo.com/external/tcgplayer/1975,Magmar,Magmar 9,0.03,0.03,18191,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Common,magmar,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/magmar-9,sv4pt5-9,534149,singles
2026-08-23T17:19:56+02:00,420,Masako Tomii,masako-tomii,PAF 3,3,751529,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,110,1976,https://images.tcggo.com/tcggo/storage/1986/maractus-paf-3-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1976,https://www.tcggo.com/external/tcgplayer/1976,Maractus,Maractus 3,0.03,0.03,18154,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Common,maractus,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/maractus-3,sv4pt5-3,534136,singles
2026-08-23T17:19:56+02:00,447,Hasuno,hasuno,PAF 10,10,751536,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,140,1977,https://images.tcggo.com/tcggo/storage/1987/magmortar-paf-10-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1977,https://www.tcggo.com/external/tcgplayer/1977,Magmortar,Magmortar 10,0.82,0.63,11491,EUR,[],,,,,,,,,0.03,0.02,0.02,0.05,0.05,0.03,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.13,rare,magmortar,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/magmortar-10,sv4pt5-10,534150,singles
2026-08-23T17:19:56+02:00,387,Scav,scav,PAF 13,13,751539,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,90,1978,https://images.tcggo.com/tcggo/storage/1988/heat-rotom-paf-13-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1978,https://www.tcggo.com/external/tcgplayer/1978,Heat Rotom,Heat Rotom 13,0.07,0.06,11865,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.13,rare,heat-rotom,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/heat-rotom-13,sv4pt5-13,534154,singles
2026-08-23T17:19:56+02:00,396,Gemi,gemi,PAF 16,16,751543,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,110,1979,https://images.tcggo.com/tcggo/storage/1989/lapras-paf-16-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1979,https://www.tcggo.com/external/tcgplayer/1979,Lapras,Lapras 16,0.04,0.04,16894,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.09,Common,lapras,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/lapras-16,sv4pt5-16,534158,singles
2026-08-23T17:19:56+02:00,394,OKACHEKE,okacheke,PAF 18,18,751545,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,70,1980,https://images.tcggo.com/tcggo/storage/1990/pikachu-paf-18-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1980,https://www.tcggo.com/external/tcgplayer/1980,Pikachu,Pikachu 18,0.1,0.1,13144,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,USD,,,,,,,,,,,74.3,1,,,,,,,,,,,45.52,1,,,,,,,,,,,,,EUR,0.34,0.17,Common,pikachu,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/pikachu-18,sv4pt5-18,534163,singles
2026-08-23T17:19:56+02:00,417,satoma,satoma,PAF 12,12,751538,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,130,1981,https://images.tcggo.com/tcggo/storage/1991/camerupt-paf-12-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1981,https://www.tcggo.com/external/tcgplayer/1981,Camerupt,Camerupt 12,0.03,0.03,18202,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.09,Uncommon,camerupt,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/camerupt-12,sv4pt5-12,534153,singles
2026-08-23T17:19:56+02:00,405,nagimiso,nagimiso,PAF 14,14,751540,91,245,PAF,Pokémon,pokemon,14,https://images.tcggo.com/tcggo/storage/1981/paldean-fates-logo.png,Paldean Fates,EUR,1810.89,EUR,2341.33,2024-01-26,1,Scarlet & Violet,scarlet-violet,paldean-fates,70,1982,https://images.tcggo.com/tcggo/storage/1992/charcadet-paf-14-paldean-fates-pokemon.png,https://www.tcggo.com/external/cm/1982,https://www.tcggo.com/external/tcgplayer/1982,Charcadet,Charcadet 14,0.03,0.04,18251,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Common,charcadet,Pokémon,https://www.tcggo.com/pokemon/paldean-fates/charcadet-14,sv4pt5-14,534155,singles
