captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,422,Dsuke,dsuke,TEF 1,1,760631,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,90,1755,https://images.tcggo.com/tcggo/storage/1765/scyther-tef-1-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1755,https://www.tcggo.com/external/tcgplayer/1755,Scyther,Scyther 1,0.05,0.06,9734,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.1,Common,scyther,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/scyther-1,sv5-1,542646,singles
2026-08-23T17:19:56+02:00,,478,Midori Harada,midori-harada,TEF 2,2,760632,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,70,1756,https://images.tcggo.com/tcggo/storage/1766/pineco-tef-2-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1756,https://www.tcggo.com/external/tcgplayer/1756,Pineco,Pineco 2,0.03,0.02,10874,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Common,pineco,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/pineco-2,sv5-2,542647,singles
2026-08-23T17:19:56+02:00,,427,Asako Ito,asako-ito,TEF 3,3,760633,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,60,1757,https://images.tcggo.com/tcggo/storage/1767/seedot-tef-3-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1757,https://www.tcggo.com/external/tcgplayer/1757,Seedot,Seedot 3,0.06,0.07,10162,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.29,0.13,Common,seedot,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/seedot-3,sv5-3,542648,singles
2026-08-23T17:19:56+02:00,,479,Lee HyunJung,lee-hyunjung,TEF 4,4,760634,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,90,1758,https://images.tcggo.com/tcggo/storage/1768/nuzleaf-tef-4-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1758,https://www.tcggo.com/external/tcgplayer/1758,Nuzleaf,Nuzleaf 4,0.04,0.04,6051,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,0.13,Common,nuzleaf,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/nuzleaf-4,sv5-4,542649,singles
2026-08-23T17:19:56+02:00,,377,Souichirou Gunjima,souichirou-gunjima,TEF 5,5,760635,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,150,1759,https://images.tcggo.com/tcggo/storage/1769/shiftry-tef-5-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1759,https://www.tcggo.com/external/tcgplayer/1759,Shiftry,Shiftry 5,0.04,0.05,8329,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.09,0.1,Uncommon,shiftry,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/shiftry-5,sv5-5,542650,singles
2026-08-23T17:19:56+02:00,,357,Yoriyuki Ikegami,yoriyuki-ikegami,TEF 6,6,760636,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,60,1760,https://images.tcggo.com/tcggo/storage/1770/shroomish-tef-6-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1760,https://www.tcggo.com/external/tcgplayer/1760,Shroomish,Shroomish 6,0.03,0.03,10805,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.09,Common,shroomish,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/shroomish-6,sv5-6,542652,singles
2026-08-23T17:19:56+02:00,,480,Taiga Kasai,taiga-kasai,TEF 7,7,760637,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,120,1761,https://images.tcggo.com/tcggo/storage/1771/breloom-tef-7-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1761,https://www.tcggo.com/external/tcgplayer/1761,Breloom,Breloom 7,0.03,0.04,5991,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.13,Common,breloom,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/breloom-7,sv5-7,542653,singles
2026-08-23T17:19:56+02:00,,481,Tomomi Kaneko,tomomi-kaneko,TEF 8,8,760638,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,60,1762,https://images.tcggo.com/tcggo/storage/1772/roselia-tef-8-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1762,https://www.tcggo.com/external/tcgplayer/1762,Roselia,Roselia 8,0.03,0.04,10666,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.1,Common,roselia,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/roselia-8,sv5-8,542655,singles
2026-08-23T17:19:56+02:00,,468,matazo,matazo,TEF 9,9,760639,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,130,1763,https://images.tcggo.com/tcggo/storage/1773/roserade-tef-9-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1763,https://www.tcggo.com/external/tcgplayer/1763,Roserade,Roserade 9,0.05,0.07,8471,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.13,Uncommon,roserade,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/roserade-9,sv5-9,542759,singles
2026-08-23T17:19:56+02:00,,394,OKACHEKE,okacheke,TEF 10,10,760640,162,218,TEF,Pokémon,pokemon,13,https://images.tcggo.com/tcggo/storage/1763/temporal-forces-logo.png,Temporal Forces,EUR,783.2,EUR,1084.58,2024-03-22,1,Scarlet & Violet,scarlet-violet,temporal-forces,80,1764,https://images.tcggo.com/tcggo/storage/1774/turtwig-tef-10-temporal-forces-pokemon.png,https://www.tcggo.com/external/cm/1764,https://www.tcggo.com/external/tcgplayer/1764,Turtwig,Turtwig 10,0.06,0.06,,EUR,[],,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.13,Common,turtwig,Pokémon,https://www.tcggo.com/pokemon/temporal-forces/turtwig-10,sv5-10,542760,singles
