captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,357,Yoriyuki Ikegami,yoriyuki-ikegami,TWM 1,1,769175,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,80,1529,https://images.tcggo.com/tcggo/storage/1537/tangela-twm-1-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1529,https://www.tcggo.com/external/tcgplayer/1529,Tangela,Tangela 1,0.03,0.02,12731,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.09,Common,tangela,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/tangela-1,sv6-1,550045,singles
2026-08-23T17:19:56+02:00,,358,LINNE,linne,TWM 2,2,769176,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,150,1530,https://images.tcggo.com/tcggo/storage/1538/tangrowth-twm-2-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1530,https://www.tcggo.com/external/tcgplayer/1530,Tangrowth,Tangrowth 2,0.04,0.04,7546,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.11,Common,tangrowth,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/tangrowth-2,sv6-2,550046,singles
2026-08-23T17:19:56+02:00,,359,HYOGONOSUKE,hyogonosuke,TWM 3,3,769177,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,110,1531,https://images.tcggo.com/tcggo/storage/1539/pinsir-twm-3-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1531,https://www.tcggo.com/external/tcgplayer/1531,Pinsir,Pinsir 3,0.04,0.05,7276,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.1,Common,pinsir,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/pinsir-3,sv6-3,550047,singles
2026-08-23T17:19:56+02:00,,360,Saya Tsuruta,saya-tsuruta,TWM 4,4,769178,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,60,1532,https://images.tcggo.com/tcggo/storage/1540/spinarak-twm-4-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1532,https://www.tcggo.com/external/tcgplayer/1532,Spinarak,Spinarak 4,0.03,0.02,12625,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.09,Common,spinarak,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/spinarak-4,sv6-4,550048,singles
2026-08-23T17:19:56+02:00,,361,Ounishi,ounishi,TWM 7,7,769181,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,100,1533,https://images.tcggo.com/tcggo/storage/1541/sunflora-twm-7-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1533,https://www.tcggo.com/external/tcgplayer/1533,Sunflora,Sunflora 7,0.03,0.03,9738,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.26,0.1,Uncommon,sunflora,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/sunflora-7,sv6-7,550051,singles
2026-08-23T17:19:56+02:00,,362,Naoyo Kimura,naoyo-kimura,TWM 6,6,769180,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,40,1534,https://images.tcggo.com/tcggo/storage/1542/sunkern-twm-6-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1534,https://www.tcggo.com/external/tcgplayer/1534,Sunkern,Sunkern 6,0.03,0.04,12634,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.09,Common,sunkern,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/sunkern-6,sv6-6,550050,singles
2026-08-23T17:19:56+02:00,,363,Anesaki Dynamic,anesaki-dynamic,TWM 5,5,769179,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,90,1535,https://images.tcggo.com/tcggo/storage/1543/ariados-twm-5-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1535,https://www.tcggo.com/external/tcgplayer/1535,Ariados,Ariados 5,0.04,0.05,9998,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.09,Uncommon,ariados,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/ariados-5,sv6-5,550049,singles
2026-08-23T17:19:56+02:00,,364,Toshinao Aoki,toshinao-aoki,TWM 8,8,769182,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,120,1536,https://images.tcggo.com/tcggo/storage/1544/heracross-twm-8-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1536,https://www.tcggo.com/external/tcgplayer/1536,Heracross,Heracross 8,0.03,0.03,10314,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Uncommon,heracross,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/heracross-8,sv6-8,550052,singles
2026-08-23T17:19:56+02:00,,365,Orca,orca,TWM 9,9,769183,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,70,1537,https://images.tcggo.com/tcggo/storage/1545/volbeat-twm-9-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1537,https://www.tcggo.com/external/tcgplayer/1537,Volbeat,Volbeat 9,0.04,0.03,12097,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.11,Common,volbeat,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/volbeat-9,sv6-9,550053,singles
2026-08-23T17:19:56+02:00,,365,Orca,orca,TWM 10,10,769184,167,226,TWM,Pokémon,pokemon,12,https://images.tcggo.com/tcggo/storage/1535/twilight-masquerade-logo.png,Twilight Masquerade,EUR,937.31,EUR,1178.43,2024-05-24,1,Scarlet & Violet,scarlet-violet,twilight-masquerade,70,1538,https://images.tcggo.com/tcggo/storage/1546/illumise-twm-10-twilight-masquerade-pokemon.png,https://www.tcggo.com/external/cm/1538,https://www.tcggo.com/external/tcgplayer/1538,Illumise,Illumise 10,0.05,0.04,6808,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.23,0.12,Common,illumise,Pokémon,https://www.tcggo.com/pokemon/twilight-masquerade/illumise-10,sv6-10,550054,singles
