captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.8.median_price,prices.ebay.graded.sgc.8.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,362,Naoyo Kimura,naoyo-kimura,SFA 1,1,780889,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,40,1430,https://images.tcggo.com/tcggo/storage/1436/joltik-sfa-1-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1430,https://www.tcggo.com/external/tcgplayer/1430,Joltik,Joltik 1,0.03,0.05,18932,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.14,Common,joltik,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/joltik-1,sv6pt5-1,560311,singles
2026-08-23T17:19:56+02:00,,769,mashu,mashu,SFA 2,2,780890,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,100,1431,https://images.tcggo.com/tcggo/storage/1437/galvantula-sfa-2-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1431,https://www.tcggo.com/external/tcgplayer/1431,Galvantula,Galvantula 2,0.03,0.03,16793,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,0.13,Uncommon,galvantula,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/galvantula-2,sv6pt5-2,560312,singles
2026-08-23T17:19:56+02:00,,776,Yoshimi Miyoshi,yoshimi-miyoshi,SFA 3,3,780891,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,70,1432,https://images.tcggo.com/tcggo/storage/1438/rowlet-sfa-3-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1432,https://www.tcggo.com/external/tcgplayer/1432,Rowlet,Rowlet 3,0.04,0.03,17176,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.1,Common,rowlet,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/rowlet-3,sv6pt5-3,560313,singles
2026-08-23T17:19:56+02:00,,431,Tetsu Kayama,tetsu-kayama,SFA 4,4,780892,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,90,1433,https://images.tcggo.com/tcggo/storage/1439/dartrix-sfa-4-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1433,https://www.tcggo.com/external/tcgplayer/1433,Dartrix,Dartrix 4,0.04,0.04,13927,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Common,dartrix,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/dartrix-4,sv6pt5-4,560314,singles
2026-08-23T17:19:56+02:00,,429,DOM,dom,SFA 5,5,780893,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,150,1434,https://images.tcggo.com/tcggo/storage/1451/decidueye-sfa-5-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1434,https://www.tcggo.com/external/tcgplayer/1434,Decidueye,Decidueye 5,0.03,0.02,16966,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Uncommon,decidueye,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/decidueye-5,sv6pt5-5,560315,singles
2026-08-23T17:19:56+02:00,,373,GOSSAN,gossan,SFA 6,6,780894,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,140,1435,https://images.tcggo.com/tcggo/storage/1440/tapu-bulu-sfa-6-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1435,https://www.tcggo.com/external/tcgplayer/1435,Tapu Bulu,Tapu Bulu 6,0.12,0.08,15509,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.13,rare,tapu-bulu,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/tapu-bulu-6,sv6pt5-6,560316,singles
2026-08-23T17:19:56+02:00,,470,REND,rend,SFA 7,7,780895,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,70,1436,https://images.tcggo.com/tcggo/storage/1441/houndour-sfa-7-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1436,https://www.tcggo.com/external/tcgplayer/1436,Houndour,Houndour 7,0.03,0.03,18912,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,0.09,Common,houndour,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/houndour-7,sv6pt5-7,560317,singles
2026-08-23T17:19:56+02:00,,1250,burari,burari,SFA 8,8,780896,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,120,1437,https://images.tcggo.com/tcggo/storage/1442/houndoom-sfa-8-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1437,https://www.tcggo.com/external/tcgplayer/1437,Houndoom,Houndoom 8,0.04,0.06,14294,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.12,Common,houndoom,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/houndoom-8,sv6pt5-8,560318,singles
2026-08-23T17:19:56+02:00,,421,Shinji Kanda,shinji-kanda,SFA 9,9,780898,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,120,1438,https://images.tcggo.com/tcggo/storage/1443/iron-moth-sfa-9-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1438,https://www.tcggo.com/external/tcgplayer/1438,Iron Moth,Iron Moth 9,0.04,0.05,14837,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.25,0.13,Uncommon,iron-moth,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/iron-moth-9,sv6pt5-9,560319,singles
2026-08-23T17:19:56+02:00,,410,Shimaris Yukichi,shimaris-yukichi,SFA 10,10,780900,64,99,SFA,Pokémon,pokemon,11,https://images.tcggo.com/tcggo/storage/1434/shrouded-fable-logo.png,Shrouded Fable,EUR,567.12,EUR,760.02,2024-08-02,1,Scarlet & Violet,scarlet-violet,shrouded-fable,60,1439,https://images.tcggo.com/tcggo/storage/1444/horsea-sfa-10-shrouded-fable-pokemon.png,https://www.tcggo.com/external/cm/1439,https://www.tcggo.com/external/tcgplayer/1439,Horsea,Horsea 10,0.03,0.03,18180,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,0.09,Common,horsea,Pokémon,https://www.tcggo.com/pokemon/shrouded-fable/horsea-10,sv6pt5-10,560320,singles
