captured_at,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,526,Saki Hayashiro,saki-hayashiro,SCR 1,1,785852,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,340,1255,https://images.tcggo.com/tcggo/storage/1259/venusaur-ex-scr-1-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1255,https://www.tcggo.com/external/tcgplayer/1255,Venusaur ex,Venusaur ex 1,1.57,1.55,,EUR,[],,,,,,,,0.8,1.49,1.49,1,1,0.8,1,1,0.3,0.3,USD,,,,,,,22.54,1,,,34.73,1,,,,,,,83.54,2,,,,,26.69,1,,,,,,,,,EUR,1.45,1.07,Double Rare,venusaur-ex,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/venusaur-ex-1,sv7-1,567227,singles
2026-08-23T17:19:56+02:00,432,Whisker,whisker,SCR 2,2,785855,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,60,1256,https://images.tcggo.com/tcggo/storage/1260/ledyba-scr-2-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1256,https://www.tcggo.com/external/tcgplayer/1256,Ledyba,Ledyba 2,0.03,0.04,10638,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.09,Common,ledyba,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/ledyba-2,sv7-2,567228,singles
2026-08-23T17:19:56+02:00,420,Masako Tomii,masako-tomii,SCR 3,3,785856,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,90,1257,https://images.tcggo.com/tcggo/storage/1261/ledian-scr-3-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1257,https://www.tcggo.com/external/tcgplayer/1257,Ledian,Ledian 3,0.18,0.14,1321,EUR,[],,,,,,,,0.02,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.13,rare,ledian,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/ledian-3,sv7-3,567229,singles
2026-08-23T17:19:56+02:00,361,Ounishi,ounishi,SCR 5,5,785858,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,100,1258,https://images.tcggo.com/tcggo/storage/1262/lileep-scr-5-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1258,https://www.tcggo.com/external/tcgplayer/1258,Lileep,Lileep 5,0.04,0.04,8855,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.11,Common,lileep,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/lileep-5,sv7-5,567231,singles
2026-08-23T17:19:56+02:00,417,satoma,satoma,SCR 4,4,785857,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,80,1259,https://images.tcggo.com/tcggo/storage/1263/celebi-scr-4-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1259,https://www.tcggo.com/external/tcgplayer/1259,Celebi,Celebi 4,0.05,0.06,9295,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,0.13,Uncommon,celebi,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/celebi-4,sv7-4,567230,singles
2026-08-23T17:19:56+02:00,449,miki kudo,miki-kudo,SCR 6,6,785859,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,150,1260,https://images.tcggo.com/tcggo/storage/1264/cradily-scr-6-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1260,https://www.tcggo.com/external/tcgplayer/1260,Cradily,Cradily 6,0.07,0.09,8358,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.15,rare,cradily,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/cradily-6,sv7-6,567232,singles
2026-08-23T17:19:56+02:00,424,Mousho,mousho,SCR 7,7,785860,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,110,1261,https://images.tcggo.com/tcggo/storage/1265/carnivine-scr-7-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1261,https://www.tcggo.com/external/tcgplayer/1261,Carnivine,Carnivine 7,0.03,0.02,9428,EUR,[],,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.09,Common,carnivine,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/carnivine-7,sv7-7,567233,singles
2026-08-23T17:19:56+02:00,386,Jerky,jerky,SCR 9,9,785862,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,70,1262,https://images.tcggo.com/tcggo/storage/1266/grubbin-scr-9-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1262,https://www.tcggo.com/external/tcgplayer/1262,Grubbin,Grubbin 9,0.03,0.03,9616,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.09,Common,grubbin,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/grubbin-9,sv7-9,567235,singles
2026-08-23T17:19:56+02:00,545,Amelicart,amelicart,SCR 8,8,785861,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,90,1263,https://images.tcggo.com/tcggo/storage/1267/mow-rotom-scr-8-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1263,https://www.tcggo.com/external/tcgplayer/1263,Mow Rotom,Mow Rotom 8,0.03,0.04,9587,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.09,Common,mow-rotom,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/mow-rotom-8,sv7-8,567234,singles
2026-08-23T17:19:56+02:00,782,Heisuke Kitazawa,heisuke-kitazawa,SCR 10,10,785863,142,175,SCR,Pokémon,pokemon,10,https://images.tcggo.com/tcggo/storage/1257/stellar-crown-logo.png,Stellar Crown,EUR,379.37,EUR,533.58,2024-09-13,1,Scarlet & Violet,scarlet-violet,stellar-crown,60,1264,https://images.tcggo.com/tcggo/storage/1268/gossifleur-scr-10-stellar-crown-pokemon.png,https://www.tcggo.com/external/cm/1264,https://www.tcggo.com/external/tcgplayer/1264,Gossifleur,Gossifleur 10,0.03,0.03,9605,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.1,Common,gossifleur,Pokémon,https://www.tcggo.com/pokemon/stellar-crown/gossifleur-10,sv7-10,567236,singles
