captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc8,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.gma.10.median_price,prices.ebay.graded.gma.10.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.sgc.8.median_price,prices.ebay.graded.sgc.8.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,431,Tetsu Kayama,tetsu-kayama,SSP 1,1,794256,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,30,20789,https://images.tcggo.com/tcggo/storage/20956/exeggcute-ssp-1-surging-sparks.png,https://www.tcggo.com/external/cm/20789,https://www.tcggo.com/external/tcgplayer/20789,Exeggcute,Exeggcute 1,0.04,0.04,6513,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.13,Common,exeggcute,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/exeggcute-1-4,sv8-1,589939,singles
2026-08-23T17:19:56+02:00,,374,OKUBO,okubo,SSP 2,2,794257,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,50,20790,https://images.tcggo.com/tcggo/storage/20957/exeggcute-ssp-2-surging-sparks.png,https://www.tcggo.com/external/cm/20790,https://www.tcggo.com/external/tcgplayer/20790,Exeggcute,Exeggcute 2,0.04,0.04,6516,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.32,0.12,Common,exeggcute,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/exeggcute-2,sv8-2,589940,singles
2026-08-23T17:19:56+02:00,,368,Oswaldo KATO,oswaldo-kato,SSP 3,3,794258,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,130,20791,https://images.tcggo.com/tcggo/storage/20958/exeggutor-ssp-3-surging-sparks.png,https://www.tcggo.com/external/cm/20791,https://www.tcggo.com/external/tcgplayer/20791,Exeggutor,Exeggutor 3,0.03,0.03,9627,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.1,Uncommon,exeggutor,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/exeggutor-3,sv8-3,589942,singles
2026-08-23T17:19:56+02:00,,475,PLANETA Tsuji,planeta-tsuji,SSP 4,4,794259,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,190,20792,https://images.tcggo.com/tcggo/storage/20959/durant-ex-ssp-4-surging-sparks.png,https://www.tcggo.com/external/cm/20792,https://www.tcggo.com/external/tcgplayer/20792,Durant ex,Durant ex 4,0.56,0.51,2382,EUR,[],,,,,,,,,0.1,0.3,0.3,0.24,0.24,0.1,0.49,0.49,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.5,0.64,Double Rare,durant-ex,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/durant-ex-4,sv8-4,589928,singles
2026-08-23T17:19:56+02:00,,780,Iori Suzuki,iori-suzuki,SSP 5,5,794260,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,40,20793,https://images.tcggo.com/tcggo/storage/20960/scatterbug-ssp-5-surging-sparks.png,https://www.tcggo.com/external/cm/20793,https://www.tcggo.com/external/tcgplayer/20793,Scatterbug,Scatterbug 5,0.03,0.03,,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.09,Common,scatterbug,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/scatterbug-5-1,sv8-5,590039,singles
2026-08-23T17:19:56+02:00,,767,tono,tono,SSP 6,6,794261,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,80,20794,https://images.tcggo.com/tcggo/storage/20961/spewpa-ssp-6-surging-sparks.png,https://www.tcggo.com/external/cm/20794,https://www.tcggo.com/external/tcgplayer/20794,Spewpa,Spewpa 6,0.03,0.03,,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,0.1,Common,spewpa,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/spewpa-6,sv8-6,590061,singles
2026-08-23T17:19:56+02:00,,545,Amelicart,amelicart,SSP 7,7,794262,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,120,20795,https://images.tcggo.com/tcggo/storage/20962/vivillon-ssp-7-surging-sparks.png,https://www.tcggo.com/external/cm/20795,https://www.tcggo.com/external/tcgplayer/20795,Vivillon,Vivillon 7,0.03,0.03,,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.29,0.13,Uncommon,vivillon,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/vivillon-7,sv8-7,590089,singles
2026-08-23T17:19:56+02:00,,441,Tomokazu Komiya,tomokazu-komiya,SSP 8,8,794263,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,60,20796,https://images.tcggo.com/tcggo/storage/20963/morelull-ssp-8-surging-sparks.png,https://www.tcggo.com/external/cm/20796,https://www.tcggo.com/external/tcgplayer/20796,Morelull,Morelull 8,0.03,0.03,,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.09,Common,morelull,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/morelull-8,sv8-8,590009,singles
2026-08-23T17:19:56+02:00,,435,Aya Kusube,aya-kusube,SSP 9,9,794264,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,110,20797,https://images.tcggo.com/tcggo/storage/20964/shiinotic-ssp-9-surging-sparks.png,https://www.tcggo.com/external/cm/20797,https://www.tcggo.com/external/tcgplayer/20797,Shiinotic,Shiinotic 9,0.03,0.03,,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.27,0.09,Uncommon,shiinotic,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/shiinotic-9,sv8-9,590045,singles
2026-08-23T17:19:56+02:00,,783,Mori Yuu,mori-yuu,SSP 10,10,794265,191,252,SSP,Pokémon,pokemon,172,https://images.tcggo.com/tcggo/storage/20954/surging-sparks-logo.png,Surging Sparks,EUR,1064.67,EUR,1090.76,2024-11-08,1,Scarlet & Violet,scarlet-violet,surging-sparks,130,20798,https://images.tcggo.com/tcggo/storage/20965/dhelmise-ssp-10-surging-sparks.png,https://www.tcggo.com/external/cm/20798,https://www.tcggo.com/external/tcgplayer/20798,Dhelmise,Dhelmise 10,0.03,0.03,,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.09,Common,dhelmise,Pokémon,https://www.tcggo.com/pokemon/surging-sparks/dhelmise-10,sv8-10,589917,singles
