captured_at,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,780,Iori Suzuki,iori-suzuki,PRE 1,1,805390,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,60,21394,https://images.tcggo.com/tcggo/storage/21416/exeggcute-pre-1-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21394,https://www.tcggo.com/external/tcgplayer/21394,Exeggcute,Exeggcute 1,0.02,0.02,23013,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,Common,exeggcute,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/exeggcute-1-5,sv8pt5-1,610356,singles
2026-08-23T17:19:56+02:00,422,Dsuke,dsuke,PRE 2,2,805391,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,140,21395,https://images.tcggo.com/tcggo/storage/21417/exeggutor-pre-2-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21395,https://www.tcggo.com/external/tcgplayer/21395,Exeggutor,Exeggutor 2,0.03,0.03,19665,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Uncommon,exeggutor,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/exeggutor-2-2,sv8pt5-2,610357,singles
2026-08-23T17:19:56+02:00,419,Uninori,uninori,PRE 3,3,805392,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,120,21396,https://images.tcggo.com/tcggo/storage/21418/pinsir-pre-3-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21396,https://www.tcggo.com/external/tcgplayer/21396,Pinsir,Pinsir 3,0.03,0.03,22940,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.09,Common,pinsir,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/pinsir-3-2,sv8pt5-3,610358,singles
2026-08-23T17:19:56+02:00,357,Yoriyuki Ikegami,yoriyuki-ikegami,PRE 4,4,805393,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,30,21397,https://images.tcggo.com/tcggo/storage/21419/budew-pre-4-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21397,https://www.tcggo.com/external/tcgplayer/21397,Budew,Budew 4,0.06,0.06,16900,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,Common,budew,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/budew-4,sv8pt5-4,610359,singles
2026-08-23T17:19:56+02:00,366,Kuroimori,kuroimori,PRE 5,5,805394,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,120,21398,https://images.tcggo.com/tcggo/storage/21420/leafeon-pre-5-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21398,https://www.tcggo.com/external/tcgplayer/21398,Leafeon,Leafeon 5,0.18,0.19,6044,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.33,rare,leafeon,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/leafeon-5,sv8pt5-5,610360,singles
2026-08-23T17:19:56+02:00,380,5ban Graphics,5ban-graphics,PRE 6,6,805395,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,270,21399,https://images.tcggo.com/tcggo/storage/21421/leafeon-ex-pre-6-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21399,https://www.tcggo.com/external/tcgplayer/21399,Leafeon ex,Leafeon ex 6,3.75,3.71,581,EUR,[],,,,,,,,1.5,3.5,3.5,2.5,2.5,1.5,2.7,2.7,1.49,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,4.39,Double Rare,leafeon-ex,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/leafeon-ex-6,sv8pt5-6,610361,singles
2026-08-23T17:19:56+02:00,483,Kyoko Umemoto,kyoko-umemoto,PRE 7,7,805396,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,60,21400,https://images.tcggo.com/tcggo/storage/21422/cottonee-pre-7-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21400,https://www.tcggo.com/external/tcgplayer/21400,Cottonee,Cottonee 7,0.02,0.02,23381,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.1,Common,cottonee,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/cottonee-7,sv8pt5-7,610362,singles
2026-08-23T17:19:56+02:00,482,Mizue,mizue,PRE 8,8,805397,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,100,21401,https://images.tcggo.com/tcggo/storage/21423/whimsicott-pre-8-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21401,https://www.tcggo.com/external/tcgplayer/21401,Whimsicott,Whimsicott 8,0.06,0.04,11018,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,rare,whimsicott,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/whimsicott-8,sv8pt5-8,610363,singles
2026-08-23T17:19:56+02:00,357,Yoriyuki Ikegami,yoriyuki-ikegami,PRE 9,9,805398,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,40,21402,https://images.tcggo.com/tcggo/storage/21424/applin-pre-9-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21402,https://www.tcggo.com/external/tcgplayer/21402,Applin,Applin 9,0.05,0.05,22199,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,Common,applin,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/applin-9,sv8pt5-9,610364,singles
2026-08-23T17:19:56+02:00,370,Saboteri,saboteri,PRE 10,10,805399,131,180,PRE,Pokémon,pokemon,212,https://images.tcggo.com/tcggo/storage/21414/prismatic-evolutions-logo.png,Prismatic Evolutions,EUR,3670.24,EUR,4269.05,2025-01-17,1,Scarlet & Violet,scarlet-violet,prismatic-evolutions,80,21403,https://images.tcggo.com/tcggo/storage/21425/dipplin-pre-10-prismatic-evolutions.png,https://www.tcggo.com/external/cm/21403,https://www.tcggo.com/external/tcgplayer/21403,Dipplin,Dipplin 10,0.05,0.05,17896,EUR,[],,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.26,Uncommon,dipplin,Pokémon,https://www.tcggo.com/pokemon/prismatic-evolutions/dipplin-10,sv8pt5-10,610365,singles
