captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10black,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,459,GIDORA,gidora,DRI 1,1,825875,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,120,22077,https://images.tcggo.com/tcggo/storage/22106/ethans-pinsir-dri-1-destined-rivals.png,https://www.tcggo.com/external/cm/22077,https://www.tcggo.com/external/tcgplayer/22077,Ethan's Pinsir,Ethan's Pinsir 1,0.04,0.04,9711,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.27,0.13,Uncommon,ethans-pinsir,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/ethans-pinsir-1,sv10-1,632829,singles
2026-08-23T17:19:56+02:00,,764,svlt,svlt,DRI 2,2,825876,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,70,22078,https://images.tcggo.com/tcggo/storage/22107/yanma-dri-2-destined-rivals.png,https://www.tcggo.com/external/cm/22078,https://www.tcggo.com/external/tcgplayer/22078,Yanma,Yanma 2,0.04,0.03,15293,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.09,Common,yanma,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/yanma-2-2,sv10-2,632830,singles
2026-08-23T17:19:56+02:00,,490,takuyoa,takuyoa,DRI 3,3,825877,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,280,22079,https://images.tcggo.com/tcggo/storage/22108/yanmega-ex-dri-3-destined-rivals.png,https://www.tcggo.com/external/cm/22079,https://www.tcggo.com/external/tcgplayer/22079,Yanmega ex,Yanmega ex 3,0.44,0.41,2788,EUR,[],,,,,,,,,,,0.1,0.14,0.14,0.15,0.15,0.1,0.4,0.4,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.53,0.6,Double Rare,yanmega-ex,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/yanmega-ex-3,sv10-3,632831,singles
2026-08-23T17:19:56+02:00,,765,YASHIRO Nanaco,yashiro-nanaco,DRI 4,4,825878,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,70,22080,https://images.tcggo.com/tcggo/storage/22109/pineco-dri-4-destined-rivals.png,https://www.tcggo.com/external/cm/22080,https://www.tcggo.com/external/tcgplayer/22080,Pineco,Pineco 4,0.04,0.03,9301,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.12,Common,pineco,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/pineco-4-2,sv10-4,632832,singles
2026-08-23T17:19:56+02:00,,766,IKEDA Saki,ikeda-saki,DRI 5,5,825879,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,60,22081,https://images.tcggo.com/tcggo/storage/22110/shroomish-dri-5-destined-rivals.png,https://www.tcggo.com/external/cm/22081,https://www.tcggo.com/external/tcgplayer/22081,Shroomish,Shroomish 5,0.03,0.04,9457,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.1,Common,shroomish,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/shroomish-5-1,sv10-5,632833,singles
2026-08-23T17:19:56+02:00,,415,nisimono,nisimono,DRI 6,6,825880,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,120,22082,https://images.tcggo.com/tcggo/storage/22111/breloom-dri-6-destined-rivals.png,https://www.tcggo.com/external/cm/22082,https://www.tcggo.com/external/tcgplayer/22082,Breloom,Breloom 6,0.03,0.03,9274,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,0.11,Common,breloom,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/breloom-6,sv10-6,632834,singles
2026-08-23T17:19:56+02:00,,415,nisimono,nisimono,DRI 7,7,825881,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,70,22083,https://images.tcggo.com/tcggo/storage/22112/cynthias-roselia-dri-7-destined-rivals.png,https://www.tcggo.com/external/cm/22083,https://www.tcggo.com/external/tcgplayer/22083,Cynthia's Roselia,Cynthia's Roselia 7,0.07,0.07,8897,EUR,[],,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.28,0.15,Common,cynthias-roselia,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/cynthias-roselia-7,sv10-7,630803,singles
2026-08-23T17:19:56+02:00,,477,En Morikura,en-morikura,DRI 8,8,825882,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,130,22084,https://images.tcggo.com/tcggo/storage/22113/cynthias-roserade-dri-8-destined-rivals.png,https://www.tcggo.com/external/cm/22084,https://www.tcggo.com/external/tcgplayer/22084,Cynthia's Roserade,Cynthia's Roserade 8,0.12,0.14,5574,EUR,[],,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.27,0.21,rare,cynthias-roserade,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/cynthias-roserade-8,sv10-8,630804,singles
2026-08-23T17:19:56+02:00,,148,Rianti Hidayat,rianti-hidayat,DRI 9,9,825883,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,70,22085,https://images.tcggo.com/tcggo/storage/22114/mow-rotom-dri-9-destined-rivals.png,https://www.tcggo.com/external/cm/22085,https://www.tcggo.com/external/tcgplayer/22085,Mow Rotom,Mow Rotom 9,0.03,0.03,8978,EUR,[],,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,0.15,Common,mow-rotom,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/mow-rotom-9,sv10-9,632835,singles
2026-08-23T17:19:56+02:00,,767,tono,tono,DRI 10,10,825884,182,244,DRI,Pokémon,pokemon,221,https://images.tcggo.com/tcggo/storage/22104/destined-rivals-logo.png,Destined Rivals,EUR,1669.96,EUR,1598.93,2025-05-30,1,Scarlet & Violet,scarlet-violet,destined-rivals,80,22086,https://images.tcggo.com/tcggo/storage/22115/shaymin-dri-10-destined-rivals.png,https://www.tcggo.com/external/cm/22086,https://www.tcggo.com/external/tcgplayer/22086,Shaymin,Shaymin 10,0.15,0.16,5614,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.75,0.2,Uncommon,shaymin,Pokémon,https://www.tcggo.com/pokemon/destined-rivals/shaymin-10-2,sv10-10,632836,singles
