captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc8,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa8,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,prices.tcg_player.mid_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:19:56+02:00,,368,Oswaldo KATO,oswaldo-kato,WHT 1,1,835898,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,50,23259,https://images.tcggo.com/tcggo/storage/23228/sewaddle.png,https://www.tcggo.com/external/cm/23259,https://www.tcggo.com/external/tcgplayer/23259,Sewaddle,Sewaddle 1,0.03,0.03,13021,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,0.13,Common,sewaddle,Pokémon,https://www.tcggo.com/pokemon/white-flare/sewaddle-1-1,rsv10pt5-1,642116,singles
2026-08-23T17:19:56+02:00,,368,Oswaldo KATO,oswaldo-kato,WHT 2,2,835899,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,80,23260,https://images.tcggo.com/tcggo/storage/23229/swadloon.png,https://www.tcggo.com/external/cm/23260,https://www.tcggo.com/external/tcgplayer/23260,Swadloon,Swadloon 2,0.03,0.03,9955,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,0.09,Common,swadloon,Pokémon,https://www.tcggo.com/pokemon/white-flare/swadloon-2-1,rsv10pt5-2,642117,singles
2026-08-23T17:19:56+02:00,,368,Oswaldo KATO,oswaldo-kato,WHT 3,3,835901,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,130,23261,https://images.tcggo.com/tcggo/storage/23230/leavanny.png,https://www.tcggo.com/external/cm/23261,https://www.tcggo.com/external/tcgplayer/23261,Leavanny,Leavanny 3,0.03,0.03,8299,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.1,Uncommon,leavanny,Pokémon,https://www.tcggo.com/pokemon/white-flare/leavanny-3-1,rsv10pt5-3,642118,singles
2026-08-23T17:19:56+02:00,,503,sui,sui,WHT 4,4,835907,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,60,23262,https://images.tcggo.com/tcggo/storage/23231/cottonee.png,https://www.tcggo.com/external/cm/23262,https://www.tcggo.com/external/tcgplayer/23262,Cottonee,Cottonee 4,0.04,0.06,10283,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.09,Common,cottonee,Pokémon,https://www.tcggo.com/pokemon/white-flare/cottonee-4,rsv10pt5-4,642119,singles
2026-08-23T17:19:56+02:00,,380,5ban Graphics,5ban-graphics,WHT 5,5,835909,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,230,23263,https://images.tcggo.com/tcggo/storage/23232/whimsicott-ex.png,https://www.tcggo.com/external/cm/23263,https://www.tcggo.com/external/tcgplayer/23263,Whimsicott ex,Whimsicott ex 5,0.36,0.39,4523,EUR,[],,,,,,,,,,,0.05,0.05,0.1,0.1,0.1,0.05,0.09,0.09,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.46,0.63,Double Rare,whimsicott-ex,Pokémon,https://www.tcggo.com/pokemon/white-flare/whimsicott-ex-5,rsv10pt5-5,642120,singles
2026-08-23T17:19:56+02:00,,774,Narano,narano,WHT 6,6,835911,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,70,23264,https://images.tcggo.com/tcggo/storage/23233/deerling.png,https://www.tcggo.com/external/cm/23264,https://www.tcggo.com/external/tcgplayer/23264,Deerling,Deerling 6,0.04,0.03,10000,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,0.1,Common,deerling,Pokémon,https://www.tcggo.com/pokemon/white-flare/deerling-6,rsv10pt5-6,642121,singles
2026-08-23T17:19:56+02:00,,774,Narano,narano,WHT 7,7,835913,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,130,23265,https://images.tcggo.com/tcggo/storage/23234/sawsbuck.png,https://www.tcggo.com/external/cm/23265,https://www.tcggo.com/external/tcgplayer/23265,Sawsbuck,Sawsbuck 7,0.03,0.03,8470,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,0.1,Uncommon,sawsbuck,Pokémon,https://www.tcggo.com/pokemon/white-flare/sawsbuck-7,rsv10pt5-7,642122,singles
2026-08-23T17:19:56+02:00,,370,Saboteri,saboteri,WHT 8,8,835915,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,60,23266,https://images.tcggo.com/tcggo/storage/23235/shelmet.png,https://www.tcggo.com/external/cm/23266,https://www.tcggo.com/external/tcgplayer/23266,Shelmet,Shelmet 8,0.3,0.79,10240,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.09,Common,shelmet,Pokémon,https://www.tcggo.com/pokemon/white-flare/shelmet-8-2,rsv10pt5-8,642123,singles
2026-08-23T17:19:56+02:00,,370,Saboteri,saboteri,WHT 9,9,835917,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,100,23267,https://images.tcggo.com/tcggo/storage/23236/accelgor.png,https://www.tcggo.com/external/cm/23267,https://www.tcggo.com/external/tcgplayer/23267,Accelgor,Accelgor 9,0.04,0.07,8662,EUR,[],,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,0.09,Uncommon,accelgor,Pokémon,https://www.tcggo.com/pokemon/white-flare/accelgor-9-2,rsv10pt5-9,642124,singles
2026-08-23T17:19:56+02:00,,771,Felicia Chen,felicia-chen,WHT 10,10,835920,86,173,WHT,Pokémon,pokemon,224,https://images.tcggo.com/tcggo/storage/23037/white-flare-logo.png,White Flare,EUR,2375.73,EUR,2754.9,2025-07-18,1,Scarlet & Violet,scarlet-violet,white-flare,120,23268,https://images.tcggo.com/tcggo/storage/23237/virizion.png,https://www.tcggo.com/external/cm/23268,https://www.tcggo.com/external/tcgplayer/23268,Virizion,Virizion 10,0.06,0.06,7263,EUR,[],,,,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,0.13,rare,virizion,Pokémon,https://www.tcggo.com/pokemon/white-flare/virizion-10,rsv10pt5-10,642125,singles
