captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.graded.bgs.bgs10,prices.cardmarket.graded.bgs.bgs10pristine,prices.cardmarket.graded.bgs.bgs8,prices.cardmarket.graded.bgs.bgs9,prices.cardmarket.graded.cgc.cgc10,prices.cardmarket.graded.cgc.cgc9,prices.cardmarket.graded.psa.psa10,prices.cardmarket.graded.psa.psa9,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.7.median_price,prices.ebay.graded.cgc.7.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:06:43+02:00,,376,MINAMINAMI Take,minaminami-take,PFL 1,1,857576,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,50,24008,https://images.tcggo.com/tcggo/storage/24139/oddish-pfl-1-phantasmal-flames.png,https://www.tcggo.com/external/cm/24008,https://www.tcggo.com/external/tcgplayer/24008,Oddish,Oddish 1,,0.03,0.02,23387,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.24,Common,oddish,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/oddish-1-5,me2-1,662205,singles
2026-08-23T17:06:43+02:00,,357,Yoriyuki Ikegami,yoriyuki-ikegami,PFL 2,2,857577,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,70,24009,https://images.tcggo.com/tcggo/storage/24148/gloom-pfl-2-phantasmal-flames.png,https://www.tcggo.com/external/cm/24009,https://www.tcggo.com/external/tcgplayer/24009,Gloom,Gloom 2,,0.02,0.02,23933,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,Common,gloom,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/gloom-2-5,me2-2,662164,singles
2026-08-23T17:06:43+02:00,,440,Shibuzoh.,shibuzoh,PFL 3,3,857578,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,150,24010,https://images.tcggo.com/tcggo/storage/24027/vileplume-pfl-3-phantasmal-flames.png,https://www.tcggo.com/external/cm/24010,https://www.tcggo.com/external/tcgplayer/24010,Vileplume,Vileplume 3,,0.05,0.06,20964,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,rare,vileplume,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/vileplume-3-3,me2-3,662238,singles
2026-08-23T17:06:43+02:00,,380,5ban Graphics,5ban-graphics,PFL 4,4,857579,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,280,24011,https://images.tcggo.com/tcggo/storage/24035/mega-heracross-ex-pfl-4-phantasmal-flames.png,https://www.tcggo.com/external/cm/24011,https://www.tcggo.com/external/tcgplayer/24011,Mega Heracross ex,Mega Heracross ex 4,,0.42,0.42,5314,EUR,[],,,,,,,,,0.09,0.11,0.11,0.05,0.05,0.09,0.05,0.05,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.49,Double Rare,mega-heracross-ex,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/mega-heracross-ex-4,me2-4,662186,singles
2026-08-23T17:06:43+02:00,,779,Wintr Wandr,wintr-wandr,PFL 5,5,857580,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,70,24012,https://images.tcggo.com/tcggo/storage/24043/lotad-pfl-5-phantasmal-flames.png,https://www.tcggo.com/external/cm/24012,https://www.tcggo.com/external/tcgplayer/24012,Lotad,Lotad 5,,0.02,0.02,23138,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,Common,lotad,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/lotad-5,me2-5,662178,singles
2026-08-23T17:06:43+02:00,,437,Shigenori Negishi,shigenori-negishi,PFL 6,6,857581,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,90,24013,https://images.tcggo.com/tcggo/storage/24051/lombre-pfl-6-phantasmal-flames.png,https://www.tcggo.com/external/cm/24013,https://www.tcggo.com/external/tcgplayer/24013,Lombre,Lombre 6,,0.02,0.03,23597,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,Common,lombre,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/lombre-6,me2-6,662177,singles
2026-08-23T17:06:43+02:00,,363,Anesaki Dynamic,anesaki-dynamic,PFL 7,7,857582,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,160,24014,https://images.tcggo.com/tcggo/storage/24059/ludicolo-pfl-7-phantasmal-flames.png,https://www.tcggo.com/external/cm/24014,https://www.tcggo.com/external/tcgplayer/24014,Ludicolo,Ludicolo 7,,0.02,0.02,23337,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,Uncommon,ludicolo,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/ludicolo-7-1,me2-7,662179,singles
2026-08-23T17:06:43+02:00,,375,Mitsuhiro Arita,mitsuhiro-arita,PFL 8,8,857583,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,120,24015,https://images.tcggo.com/tcggo/storage/24067/genesect-pfl-8-phantasmal-flames.png,https://www.tcggo.com/external/cm/24015,https://www.tcggo.com/external/tcgplayer/24015,Genesect,Genesect 8,,0.04,0.05,21106,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,rare,genesect,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/genesect-8,me2-8,662161,singles
2026-08-23T17:06:43+02:00,,401,Yuka Morii,yuka-morii,PFL 9,9,857584,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,50,24016,https://images.tcggo.com/tcggo/storage/24075/nymble-pfl-9-phantasmal-flames.png,https://www.tcggo.com/external/cm/24016,https://www.tcggo.com/external/tcgplayer/24016,Nymble,Nymble 9,,0.02,0.03,23798,EUR,[],,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,Common,nymble,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/nymble-9,me2-9,662203,singles
2026-08-23T17:06:43+02:00,,480,Taiga Kasai,taiga-kasai,PFL 10,10,857585,94,130,PFL,Pokémon,pokemon,231,https://images.tcggo.com/tcggo/storage/23782/Pokemon_TCG_Mega_Evolution—Phantasmal_Flames_Logo.png,Phantasmal Flames,EUR,1204.63,EUR,1021.43,2025-11-14,17,Mega Evolution,mega-evolution,phantasmal-flames,120,24017,https://images.tcggo.com/tcggo/storage/24083/lokix-pfl-10-phantasmal-flames.png,https://www.tcggo.com/external/cm/24017,https://www.tcggo.com/external/tcgplayer/24017,Lokix,Lokix 10,,0.02,0.03,24495,EUR,[],,,,,,,,,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,Uncommon,lokix,Pokémon,https://www.tcggo.com/pokemon/phantasmal-flames/lokix-10,me2-10,662176,singles
