captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.8.median_price,prices.ebay.graded.bgs.8.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.10.median_price,prices.ebay.graded.sgc.10.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.7.median_price,prices.ebay.graded.tag.7.sample_size,prices.ebay.graded.tag.8.median_price,prices.ebay.graded.tag.8.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:06:43+02:00,,357,Yoriyuki Ikegami,yoriyuki-ikegami,ASC 1,1,869612,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,60,31452,https://images.tcggo.com/tcggo/storage/31884/erikas-oddish-asc-1-ascended-heroes.png,https://www.tcggo.com/external/cm/31452,https://www.tcggo.com/external/tcgplayer/31452,Erika's Oddish,Erika's Oddish 1,,0.03,0.04,11177,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,Common,erikas-oddish,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/erikas-oddish-1,me2pt5-1,675813,singles
2026-08-23T17:06:43+02:00,,455,MARINA Chikazawa,marina-chikazawa,ASC 2,2,869613,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,90,31453,https://images.tcggo.com/tcggo/storage/31903/erikas-gloom-asc-2-ascended-heroes.png,https://www.tcggo.com/external/cm/31453,https://www.tcggo.com/external/tcgplayer/31453,Erika's Gloom,Erika's Gloom 2,,0.03,0.03,8077,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,Uncommon,erikas-gloom,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/erikas-gloom-2,me2pt5-2,675814,singles
2026-08-23T17:06:43+02:00,,380,5ban Graphics,5ban-graphics,ASC 3,3,869614,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,310,31454,https://images.tcggo.com/tcggo/storage/31922/erikas-vileplume-ex-asc-3-ascended-heroes.png,https://www.tcggo.com/external/cm/31454,https://www.tcggo.com/external/tcgplayer/31454,Erika's Vileplume ex,Erika's Vileplume ex 3,,0.86,0.82,1048,EUR,[],0.45,0.2,0.49,0.49,0.49,0.48,0.25,0.25,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.79,Double Rare,erikas-vileplume-ex,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/erikas-vileplume-ex-3,me2pt5-3,675815,singles
2026-08-23T17:06:43+02:00,,503,sui,sui,ASC 4,4,869615,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,60,31455,https://images.tcggo.com/tcggo/storage/31941/erikas-bellsprout-asc-4-ascended-heroes.png,https://www.tcggo.com/external/cm/31455,https://www.tcggo.com/external/tcgplayer/31455,Erika's Bellsprout,Erika's Bellsprout 4,,0.04,0.04,11465,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.62,Common,erikas-bellsprout,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/erikas-bellsprout-4,me2pt5-4,675816,singles
2026-08-23T17:06:43+02:00,,358,LINNE,linne,ASC 5,5,869616,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,90,31456,https://images.tcggo.com/tcggo/storage/31960/erikas-weepinbell-asc-5-ascended-heroes.png,https://www.tcggo.com/external/cm/31456,https://www.tcggo.com/external/tcgplayer/31456,Erika's Weepinbell,Erika's Weepinbell 5,,0.04,0.04,8288,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.93,Uncommon,erikas-weepinbell,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/erikas-weepinbell-5,me2pt5-5,675817,singles
2026-08-23T17:06:43+02:00,,446,takashi shiraishi,takashi-shiraishi,ASC 6,6,869617,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,150,31457,https://images.tcggo.com/tcggo/storage/31979/erikas-victreebel-asc-6-ascended-heroes.png,https://www.tcggo.com/external/cm/31457,https://www.tcggo.com/external/tcgplayer/31457,Erika's Victreebel,Erika's Victreebel 6,,0.07,0.09,5983,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,rare,erikas-victreebel,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/erikas-victreebel-6,me2pt5-6,675818,singles
2026-08-23T17:06:43+02:00,,459,GIDORA,gidora,ASC 7,7,869618,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,80,31458,https://images.tcggo.com/tcggo/storage/31998/erikas-tangela-asc-7-ascended-heroes.png,https://www.tcggo.com/external/cm/31458,https://www.tcggo.com/external/tcgplayer/31458,Erika's Tangela,Erika's Tangela 7,,0.03,0.03,11706,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.12,Common,erikas-tangela,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/erikas-tangela-7,me2pt5-7,675819,singles
2026-08-23T17:06:43+02:00,,418,Kariya,kariya,ASC 8,8,869619,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,70,31459,https://images.tcggo.com/tcggo/storage/32016/chikorita-asc-8-ascended-heroes.png,https://www.tcggo.com/external/cm/31459,https://www.tcggo.com/external/tcgplayer/31459,Chikorita,Chikorita 8,,0.05,0.05,10388,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Common,chikorita,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/chikorita-8-1,me2pt5-8,675820,singles
2026-08-23T17:06:43+02:00,,372,Tomomi Ozaki,tomomi-ozaki,ASC 9,9,869620,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,100,31460,https://images.tcggo.com/tcggo/storage/31740/bayleef-asc-9-ascended-heroes.png,https://www.tcggo.com/external/cm/31460,https://www.tcggo.com/external/tcgplayer/31460,Bayleef,Bayleef 9,,0.05,0.05,7733,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Uncommon,bayleef,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/bayleef-9-1,me2pt5-9,675821,singles
2026-08-23T17:06:43+02:00,,380,5ban Graphics,5ban-graphics,ASC 10,10,869621,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,360,31461,https://images.tcggo.com/tcggo/storage/31758/mega-meganium-ex-asc-10-ascended-heroes.png,https://www.tcggo.com/external/cm/31461,https://www.tcggo.com/external/tcgplayer/31461,Mega Meganium ex,Mega Meganium ex 10,,1.42,1.45,987,EUR,[],0.8,0.84,0.84,0.99,0.99,0.8,1,1,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.96,Double Rare,mega-meganium-ex,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/mega-meganium-ex-10,me2pt5-10,675822,singles
2026-08-23T17:06:43+02:00,,525,USGMEN,usgmen,ASC 11,11,869622,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,60,31462,https://images.tcggo.com/tcggo/storage/31776/wurmple-asc-11-ascended-heroes.png,https://www.tcggo.com/external/cm/31462,https://www.tcggo.com/external/tcgplayer/31462,Wurmple,Wurmple 11,,0.03,0.03,11520,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,Common,wurmple,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/wurmple-11,me2pt5-11,675823,singles
2026-08-23T17:06:43+02:00,,531,Eri Yamaki,eri-yamaki,ASC 12,12,869623,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,90,31463,https://images.tcggo.com/tcggo/storage/31794/silcoon-asc-12-ascended-heroes.png,https://www.tcggo.com/external/cm/31463,https://www.tcggo.com/external/tcgplayer/31463,Silcoon,Silcoon 12,,0.04,0.03,5430,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.1,Common,silcoon,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/silcoon-12,me2pt5-12,675824,singles
2026-08-23T17:06:43+02:00,,406,Narumi Sato,narumi-sato,ASC 13,13,869624,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,130,31464,https://images.tcggo.com/tcggo/storage/31812/beautifly-asc-13-ascended-heroes.png,https://www.tcggo.com/external/cm/31464,https://www.tcggo.com/external/tcgplayer/31464,Beautifly,Beautifly 13,,0.04,0.03,8308,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.07,Uncommon,beautifly,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/beautifly-13,me2pt5-13,675825,singles
2026-08-23T17:06:43+02:00,,422,Dsuke,dsuke,ASC 14,14,869625,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,90,31465,https://images.tcggo.com/tcggo/storage/31830/cascoon-asc-14-ascended-heroes.png,https://www.tcggo.com/external/cm/31465,https://www.tcggo.com/external/tcgplayer/31465,Cascoon,Cascoon 14,,0.04,0.03,5441,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.08,Common,cascoon,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/cascoon-14,me2pt5-14,675826,singles
2026-08-23T17:06:43+02:00,,773,kamonabe,kamonabe,ASC 15,15,869626,217,295,ASC,Pokémon,pokemon,396,https://images.tcggo.com/tcggo/storage/34000/ascended_heroes.png,Ascended Heroes,EUR,4747.06,EUR,5013.47,2026-01-30,17,Mega Evolution,mega-evolution,ascended-heroes,140,31466,https://images.tcggo.com/tcggo/storage/31848/dustox-asc-15-ascended-heroes.png,https://www.tcggo.com/external/cm/31466,https://www.tcggo.com/external/tcgplayer/31466,Dustox,Dustox 15,,0.03,0.03,8302,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.07,Uncommon,dustox,Pokémon,https://www.tcggo.com/pokemon/ascended-heroes/dustox-15,me2pt5-15,675827,singles
