captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.7.median_price,prices.ebay.graded.ace.7.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.bgs.10.median_price,prices.ebay.graded.bgs.10.sample_size,prices.ebay.graded.bgs.9.median_price,prices.ebay.graded.bgs.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.tag.10.median_price,prices.ebay.graded.tag.10.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:06:43+02:00,,367,Katsunori Sato,katsunori-sato,POR 1,1,877413,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,60,31799,https://images.tcggo.com/tcggo/storage/32187/spinarak.webp,https://www.tcggo.com/external/cm/31799,https://www.tcggo.com/external/tcgplayer/31799,Spinarak,Spinarak 1,,0.02,0.02,11316,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,Common,spinarak,,https://www.tcggo.com/pokemon/perfect-order/spinarak,POR-1,684397,singles
2026-08-23T17:06:43+02:00,,764,svlt,svlt,POR 2,2,877414,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,110,31800,https://images.tcggo.com/tcggo/storage/32188/ariados.webp,https://www.tcggo.com/external/cm/31800,https://www.tcggo.com/external/tcgplayer/31800,Ariados,Ariados 2,,0.03,0.02,10277,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,Common,ariados,,https://www.tcggo.com/pokemon/perfect-order/ariados,POR-2,684398,singles
2026-08-23T17:06:43+02:00,,391,saino misaki,saino-misaki,POR 3,3,877415,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,70,31801,https://images.tcggo.com/tcggo/storage/32189/shaymin.webp,https://www.tcggo.com/external/cm/31801,https://www.tcggo.com/external/tcgplayer/31801,Shaymin,Shaymin 3,,0.03,0.03,13421,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,Uncommon,shaymin,,https://www.tcggo.com/pokemon/perfect-order/shaymin,POR-3,684399,singles
2026-08-23T17:06:43+02:00,,406,Narumi Sato,narumi-sato,POR 4,4,877416,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,70,31802,https://images.tcggo.com/tcggo/storage/32190/snivy.webp,https://www.tcggo.com/external/cm/31802,https://www.tcggo.com/external/tcgplayer/31802,Snivy,Snivy 4,,0.03,0.02,11002,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,Common,snivy,,https://www.tcggo.com/pokemon/perfect-order/snivy,POR-4,684400,singles
2026-08-23T17:06:43+02:00,,397,Kurata So,kurata-so,POR 5,5,877417,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,100,31803,https://images.tcggo.com/tcggo/storage/32191/servine.webp,https://www.tcggo.com/external/cm/31803,https://www.tcggo.com/external/tcgplayer/31803,Servine,Servine 5,,0.03,0.02,10830,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.2,Common,servine,,https://www.tcggo.com/pokemon/perfect-order/servine,POR-5,684401,singles
2026-08-23T17:06:43+02:00,,414,kodama,kodama,POR 6,6,877418,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,160,31804,https://images.tcggo.com/tcggo/storage/32192/serperior.webp,https://www.tcggo.com/external/cm/31804,https://www.tcggo.com/external/tcgplayer/31804,Serperior,Serperior 6,,0.05,0.05,7966,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.22,rare,serperior,,https://www.tcggo.com/pokemon/perfect-order/serperior,POR-6,684402,singles
2026-08-23T17:06:43+02:00,,394,OKACHEKE,okacheke,POR 7,7,877419,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,40,31805,https://images.tcggo.com/tcggo/storage/32193/scatterbug.webp,https://www.tcggo.com/external/cm/31805,https://www.tcggo.com/external/tcgplayer/31805,Scatterbug,Scatterbug 7,,0.03,0.02,10850,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.15,Common,scatterbug,,https://www.tcggo.com/pokemon/perfect-order/scatterbug,POR-7,684363,singles
2026-08-23T17:06:43+02:00,,361,Ounishi,ounishi,POR 8,8,877420,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,80,31806,https://images.tcggo.com/tcggo/storage/32194/spewpa.webp,https://www.tcggo.com/external/cm/31806,https://www.tcggo.com/external/tcgplayer/31806,Spewpa,Spewpa 8,,0.03,0.02,9918,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.19,Common,spewpa,,https://www.tcggo.com/pokemon/perfect-order/spewpa,POR-8,684364,singles
2026-08-23T17:06:43+02:00,,423,mingo,mingo,POR 9,9,877421,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,120,31807,https://images.tcggo.com/tcggo/storage/32195/vivillon.webp,https://www.tcggo.com/external/cm/31807,https://www.tcggo.com/external/tcgplayer/31807,Vivillon,Vivillon 9,,0.03,0.03,11916,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.18,Uncommon,vivillon,,https://www.tcggo.com/pokemon/perfect-order/vivillon,POR-9,684366,singles
2026-08-23T17:06:43+02:00,,413,Atsuya Uki,atsuya-uki,POR 10,10,877422,88,124,POR,Pokémon,pokemon,399,https://images.tcggo.com/tcggo/storage/32311/Pokemon_TCG_Mega_Evolution—Perfect_Order_Logo.png,Perfect Order,EUR,578.36,EUR,542.27,2026-03-27,17,Mega Evolution,mega-evolution,perfect-order,80,31808,https://images.tcggo.com/tcggo/storage/32196/rowlet.webp,https://www.tcggo.com/external/cm/31808,https://www.tcggo.com/external/tcgplayer/31808,Rowlet,Rowlet 10,,0.03,0.02,9548,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.21,Common,rowlet,,https://www.tcggo.com/pokemon/perfect-order/rowlet,POR-10,684367,singles
