captured_at,artist,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-08-23T17:06:43+02:00,,826,Akino Fukuji,akino-fukuji,PBL 1,1,895789,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49770,https://images.tcggo.com/tcggo/storage/38126/tropius-1-pitch-black.png,https://www.tcggo.com/external/cm/49770,https://www.tcggo.com/external/tcgplayer/49770,Tropius,Tropius 1,0.03,0.03,4354,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.14,Common,tropius,,https://www.tcggo.com/pokemon/pitch-black/tropius-20,PBL-1,704758,singles
2026-08-23T17:06:43+02:00,,416,Mina Nakai,mina-nakai,PBL 2,2,895790,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49771,https://images.tcggo.com/tcggo/storage/38127/grubbin-2-pitch-black.png,https://www.tcggo.com/external/cm/49771,https://www.tcggo.com/external/tcgplayer/49771,Grubbin,Grubbin 2,0.03,0.02,5946,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.12,Common,grubbin,,https://www.tcggo.com/pokemon/pitch-black/grubbin-8,PBL-2,704759,singles
2026-08-23T17:06:43+02:00,,415,nisimono,nisimono,PBL 3,3,895791,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49772,https://images.tcggo.com/tcggo/storage/38128/fomantis-3-pitch-black.png,https://www.tcggo.com/external/cm/49772,https://www.tcggo.com/external/tcgplayer/49772,Fomantis,Fomantis 3,0.04,0.04,4257,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.19,Common,fomantis,,https://www.tcggo.com/pokemon/pitch-black/fomantis-4,PBL-3,704760,singles
2026-08-23T17:06:43+02:00,,380,5ban Graphics,5ban-graphics,PBL 4,4,895792,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49773,https://images.tcggo.com/tcggo/storage/38129/lurantis-ex-4-pitch-black.png,https://www.tcggo.com/external/cm/49773,https://www.tcggo.com/external/tcgplayer/49773,Lurantis ex,Lurantis ex 4,0.43,0.4,1222,EUR,[],0.1,0.06,0.06,0.5,0.5,0.1,0.4,0.4,0.02,0.02,,,,,,,,,,,,EUR,0.49,Double Rare,lurantis-ex,,https://www.tcggo.com/pokemon/pitch-black/lurantis-ex,PBL-4,704761,singles
2026-08-23T17:06:43+02:00,,424,Mousho,mousho,PBL 5,5,895793,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49774,https://images.tcggo.com/tcggo/storage/38130/poltchageist-5-pitch-black.png,https://www.tcggo.com/external/cm/49774,https://www.tcggo.com/external/tcgplayer/49774,Poltchageist,Poltchageist 5,0.07,0.05,5241,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.17,Common,poltchageist,,https://www.tcggo.com/pokemon/pitch-black/poltchageist-2,PBL-5,704762,singles
2026-08-23T17:06:43+02:00,,423,mingo,mingo,PBL 6,6,895794,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49775,https://images.tcggo.com/tcggo/storage/38131/sinistcha-6-pitch-black.png,https://www.tcggo.com/external/cm/49775,https://www.tcggo.com/external/tcgplayer/49775,Sinistcha,Sinistcha 6,0.09,0.06,5045,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.2,Uncommon,sinistcha,,https://www.tcggo.com/pokemon/pitch-black/sinistcha-1,PBL-6,704763,singles
2026-08-23T17:06:43+02:00,,436,Takeshi Nakamura,takeshi-nakamura,PBL 7,7,895795,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49776,https://images.tcggo.com/tcggo/storage/38132/heatran-7-pitch-black.png,https://www.tcggo.com/external/cm/49776,https://www.tcggo.com/external/tcgplayer/49776,Heatran,Heatran 7,0.03,0.03,3892,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.21,Uncommon,heatran,,https://www.tcggo.com/pokemon/pitch-black/heatran-19,PBL-7,704764,singles
2026-08-23T17:06:43+02:00,,380,5ban Graphics,5ban-graphics,PBL 8,8,895796,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49777,https://images.tcggo.com/tcggo/storage/38133/mega-delphox-ex-8-pitch-black.png,https://www.tcggo.com/external/cm/49777,https://www.tcggo.com/external/tcgplayer/49777,Mega Delphox ex,Mega Delphox ex 8,0.69,0.57,1054,EUR,[],0.1,0.15,0.25,0.2,0.2,0.1,0.5,0.5,0.09,0.09,,,,,,,,,,,,EUR,0.64,Double Rare,mega-delphox-ex,,https://www.tcggo.com/pokemon/pitch-black/mega-delphox-ex,PBL-8,704765,singles
2026-08-23T17:06:43+02:00,,491,Yuya Oka,yuya-oka,PBL 9,9,895797,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49778,https://images.tcggo.com/tcggo/storage/38134/sizzlipede-9-pitch-black.png,https://www.tcggo.com/external/cm/49778,https://www.tcggo.com/external/tcgplayer/49778,Sizzlipede,Sizzlipede 9,0.03,0.02,5680,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.1,Common,sizzlipede,,https://www.tcggo.com/pokemon/pitch-black/sizzlipede-10,PBL-9,704766,singles
2026-08-23T17:06:43+02:00,,378,Kouki Saitou,kouki-saitou,PBL 10,10,895798,0,0,PBL,Pokémon,pokemon,415,https://images.tcggo.com/tcggo/storage/34402/pitch_black_logo.png,Pitch Black,EUR,697.45,EUR,720.52,2026-07-17,17,Mega Evolution,mega-evolution,pitch-black,,49779,https://images.tcggo.com/tcggo/storage/38135/centiskorch-10-pitch-black.png,https://www.tcggo.com/external/cm/49779,https://www.tcggo.com/external/tcgplayer/49779,Centiskorch,Centiskorch 10,0.03,0.03,4435,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,EUR,0.13,Common,centiskorch,,https://www.tcggo.com/pokemon/pitch-black/centiskorch-8,PBL-10,704767,singles
