captured_at,artist.id,artist.name,artist.slug,card_code_number,card_number,cardmarket_id,episode.cards_printed_total,episode.cards_total,episode.code,episode.game.name,episode.game.slug,episode.id,episode.lang,episode.logo,episode.name,episode.prices.cardmarket.currency,episode.prices.cardmarket.total,episode.prices.tcgplayer.currency,episode.prices.tcgplayer.total,episode.released_at,episode.series.id,episode.series.name,episode.series.slug,episode.slug,hp,id,image,lang,links.cardmarket,links.tcgplayer,name,name_numbered,prices.cardmarket.30d_average,prices.cardmarket.7d_average,prices.cardmarket.available_items,prices.cardmarket.currency,prices.cardmarket.graded,prices.cardmarket.lowest_near_mint,prices.cardmarket.lowest_near_mint_DE,prices.cardmarket.lowest_near_mint_DE_EU_only,prices.cardmarket.lowest_near_mint_ES,prices.cardmarket.lowest_near_mint_ES_EU_only,prices.cardmarket.lowest_near_mint_EU_only,prices.cardmarket.lowest_near_mint_FR,prices.cardmarket.lowest_near_mint_FR_EU_only,prices.cardmarket.lowest_near_mint_IT,prices.cardmarket.lowest_near_mint_IT_EU_only,prices.ebay.currency,prices.ebay.graded.ace.10.median_price,prices.ebay.graded.ace.10.sample_size,prices.ebay.graded.ace.8.median_price,prices.ebay.graded.ace.8.sample_size,prices.ebay.graded.ace.9.median_price,prices.ebay.graded.ace.9.sample_size,prices.ebay.graded.cgc.10.median_price,prices.ebay.graded.cgc.10.sample_size,prices.ebay.graded.cgc.8.median_price,prices.ebay.graded.cgc.8.sample_size,prices.ebay.graded.cgc.9.median_price,prices.ebay.graded.cgc.9.sample_size,prices.ebay.graded.psa.10.median_price,prices.ebay.graded.psa.10.sample_size,prices.ebay.graded.psa.7.median_price,prices.ebay.graded.psa.7.sample_size,prices.ebay.graded.psa.8.median_price,prices.ebay.graded.psa.8.sample_size,prices.ebay.graded.psa.9.median_price,prices.ebay.graded.psa.9.sample_size,prices.ebay.graded.sgc.9.median_price,prices.ebay.graded.sgc.9.sample_size,prices.ebay.graded.tag.9.median_price,prices.ebay.graded.tag.9.sample_size,prices.tcg_player.currency,prices.tcg_player.market_price,rarity,slug,supertype,tcggo_url,tcgid,tcgplayer_id,type
2026-09-24T19:50:53+02:00,434,AKIRA EGAWA,akira-egawa,30C 106,106,907713,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65629,https://images.tcggo.com/tcggo/storage/55079/zacian-30c-106-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65629,https://www.tcggo.com/external/tcgplayer/65629,Zacian,Zacian 106,0.21,0.21,560,EUR,[],0.03,0.07,0.07,0.02,0.02,0.03,0.02,0.09,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,rare,zacian,,https://www.tcggo.com/pokemon/30th-celebration/zacian-6,30C-106,716499,singles
2026-09-24T19:50:53+02:00,788,Tsuyoshi Nagano,tsuyoshi-nagano,30C 107,107,907714,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65630,https://images.tcggo.com/tcggo/storage/55080/zamazenta-30c-107-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65630,https://www.tcggo.com/external/tcgplayer/65630,Zamazenta,Zamazenta 107,0.16,0.16,533,EUR,[],0.02,0.05,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.16,rare,zamazenta,,https://www.tcggo.com/pokemon/30th-celebration/zamazenta-3,30C-107,716500,singles
2026-09-24T19:50:53+02:00,379,Sanosuke Sakuma,sanosuke-sakuma,30C 108,108,907715,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65631,https://images.tcggo.com/tcggo/storage/55081/gholdengo-30c-108-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65631,https://www.tcggo.com/external/tcgplayer/65631,Gholdengo,Gholdengo 108,0.12,0.12,799,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.14,Common,gholdengo,,https://www.tcggo.com/pokemon/30th-celebration/gholdengo-2,30C-108,716501,singles
2026-09-24T19:50:53+02:00,380,5ban Graphics,5ban-graphics,30C 109,109,907716,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65632,https://images.tcggo.com/tcggo/storage/55082/salamence-ex-30c-109-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65632,https://www.tcggo.com/external/tcgplayer/65632,Salamence ex,Salamence ex 109,0.74,0.74,544,EUR,[],0.08,0.25,0.25,0.1,0.1,0.08,0.29,0.29,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.44,Double Rare,salamence-ex,,https://www.tcggo.com/pokemon/30th-celebration/salamence-ex,30C-109,716502,singles
2026-09-24T19:50:53+02:00,449,miki kudo,miki-kudo,30C 110,110,907717,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65633,https://images.tcggo.com/tcggo/storage/55083/jangmo-o-30c-110-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65633,https://www.tcggo.com/external/tcgplayer/65633,Jangmo-o,Jangmo-o 110,0.11,0.11,832,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.12,Common,jangmo-o,,https://www.tcggo.com/pokemon/30th-celebration/jangmo-o-5,30C-110,716503,singles
2026-09-24T19:50:53+02:00,535,Jiro Sasumo,jiro-sasumo,30C 111,111,907718,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65634,https://images.tcggo.com/tcggo/storage/55084/hakamo-o-30c-111-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65634,https://www.tcggo.com/external/tcgplayer/65634,Hakamo-o,Hakamo-o 111,0.12,0.12,872,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.12,Common,hakamo-o,,https://www.tcggo.com/pokemon/30th-celebration/hakamo-o-4,30C-111,716504,singles
2026-09-24T19:50:53+02:00,455,MARINA Chikazawa,marina-chikazawa,30C 112,112,907719,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65635,https://images.tcggo.com/tcggo/storage/55085/kommo-o-30c-112-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65635,https://www.tcggo.com/external/tcgplayer/65635,Kommo-o,Kommo-o 112,0.12,0.12,615,EUR,[],0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,Common,kommo-o,,https://www.tcggo.com/pokemon/30th-celebration/kommo-o-3,30C-112,716505,singles
2026-09-24T19:50:53+02:00,376,MINAMINAMI Take,minaminami-take,30C 113,113,907720,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65636,https://images.tcggo.com/tcggo/storage/55086/meowth-30c-113-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65636,https://www.tcggo.com/external/tcgplayer/65636,Meowth,Meowth 113,0.15,0.14,753,EUR,[],0.02,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.17,Common,meowth,,https://www.tcggo.com/pokemon/30th-celebration/meowth-28,30C-113,714356,singles
2026-09-24T19:50:53+02:00,516,Pani Kobayashi,pani-kobayashi,30C 114,114,907721,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65637,https://images.tcggo.com/tcggo/storage/55087/kangaskhan-30c-114-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65637,https://www.tcggo.com/external/tcgplayer/65637,Kangaskhan,Kangaskhan 114,0.13,0.12,522,EUR,[],0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.13,Common,kangaskhan,,https://www.tcggo.com/pokemon/30th-celebration/kangaskhan-20,30C-114,716506,singles
2026-09-24T19:50:53+02:00,364,Toshinao Aoki,toshinao-aoki,30C 115,115,907722,128,128,30C,Pokémon,pokemon,431,en,https://images.tcggo.com/tcggo/storage/36628/30thcelebration.png,30th Celebration,EUR,11505.06,EUR,765.29,2026-09-16,17,Mega Evolution,mega-evolution,30th-celebration,,65638,https://images.tcggo.com/tcggo/storage/55088/ditto-30c-115-30th-celebration.webp,en,https://www.tcggo.com/external/cm/65638,https://www.tcggo.com/external/tcgplayer/65638,Ditto,Ditto 115,0.36,0.36,498,EUR,[],0.05,0.15,0.15,0.16,0.16,0.05,0.02,0.04,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.39,Common,ditto,,https://www.tcggo.com/pokemon/30th-celebration/ditto-26,30C-115,716507,singles
